contrast,medication,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,fix,Panel,significant,med_x
CTRL - ASD,BOTH,0.10430003263859662,0.3191688012568797,Inf,-0.5212593228137097,0.729859388090903,0.3267864284600042,0.7438294249110313,Eyes,Overall,FALSE,1
CTRL - ASD,NAL,0.21591758747240491,0.3277724598956927,Inf,-0.4265046290472519,0.8583398039920618,0.658742310263396,0.5100612584226315,Eyes,Overall,FALSE,2
CTRL - ASD,OXT,0.2161985845606318,0.3151874471688157,Inf,-0.4015574602693679,0.8339546293906315,0.6859365323798411,0.4927531317239578,Eyes,Overall,FALSE,3
CTRL - ASD,PLA,0.5828668273598911,0.32223221256201035,Inf,-0.04869670392030412,1.2144303586400864,1.8088409682124014,0.0704757135540097,Eyes,Overall,FALSE,4
CTRL - ASD,BOTH,0.14752388963381466,0.4417288338812634,Inf,-0.7182487157063377,1.0132964949739671,0.33396934571282494,0.7384026904683558,Eyes,Female,FALSE,1
CTRL - ASD,NAL,0.5733581463700861,0.4540832588542141,Inf,-0.31662868696675195,1.4633449797069242,1.2626718452841394,0.20670713629235551,Eyes,Female,FALSE,2
CTRL - ASD,OXT,0.5270711368017604,0.44887637470495684,Inf,-0.3527103911308609,1.4068526647343818,1.1742011085974404,0.2403144821075283,Eyes,Female,FALSE,3
CTRL - ASD,PLA,0.9823007678870623,0.45214342678542296,Inf,0.09611593554111075,1.868485600233014,2.172542405118808,0.029814774746936293,Eyes,Female,TRUE,4
CTRL - ASD,BOTH,-0.4746806964120399,0.2912310843374506,Inf,-1.04548313289199,0.09612174006791019,-1.6299108231936723,0.10312034583788716,Background,Overall,FALSE,1
CTRL - ASD,NAL,-0.11083678584887624,0.2980562016381494,Inf,-0.6950162064284572,0.4733426347307047,-0.37186539061997426,0.7099930744628309,Background,Overall,FALSE,2
CTRL - ASD,OXT,-0.2422660144039514,0.2880077218731056,Inf,-0.8067507765446669,0.3222187477367641,-0.8411788851643787,0.4002477275221629,Background,Overall,FALSE,3
CTRL - ASD,PLA,-0.5631844238753292,0.2936456339168199,Inf,-1.1387192905697294,0.01235044281907105,-1.917904980786674,0.05512306057270789,Background,Overall,FALSE,4
CTRL - ASD,BOTH,-0.7933685131461536,0.44872125601942503,Inf,-1.6728460140418036,0.08610898774949616,-1.7680653690981132,0.07704997609443553,Background,Female,FALSE,1
CTRL - ASD,NAL,-0.6447110251405703,0.4591204315519619,Inf,-1.5445705355489026,0.2551484852677619,-1.404230743905815,0.16025014970924362,Background,Female,FALSE,2
CTRL - ASD,OXT,-0.81429686941680135,0.4560173215965493,Inf,-1.7080743960724571,0.07948065723885445,-1.785670918301721,0.07415255676261506,Background,Female,FALSE,3
CTRL - ASD,PLA,-1.0246555745929178,0.4583059125014375,Inf,-1.9229186569975003,-0.12639249218833526,-2.235745921322156,0.025368419134836243,Background,Female,TRUE,4
