phase,medication,term,contrast,null.value,estimate,std.error,df,statistic,p.value
Follicular,NAL/OXT,Group,ASD - CTRL,0,-0.022167704889817733,0.5344083055269536,Inf,-0.04148083901495366,0.9669125679563103
Luteal,NAL/OXT,Group,ASD - CTRL,0,0.5822085308283258,0.6171730923814392,Inf,0.9433472359946894,0.3455033222399127
Follicular,NAL/PLA,Group,ASD - CTRL,0,-0.4804890860964473,0.4790590262228968,Inf,-1.0029851433649537,0.31586802947479475
Luteal,NAL/PLA,Group,ASD - CTRL,0,-0.8993456759313525,0.7041696290612691,Inf,-1.2771719182638894,0.20154155880353683
Follicular,PLA/OXT,Group,ASD - CTRL,0,-0.8233332368788996,0.5146106232356303,Inf,-1.599914964254267,0.1096174491542636
Luteal,PLA/OXT,Group,ASD - CTRL,0,-0.5213895667139391,0.5429597041013395,Inf,-0.9602730419505044,0.3369178140204983
Follicular,PLA/PLA,Group,ASD - CTRL,0,-0.7824116637744255,0.6006340320162467,Inf,-1.3026429107720987,0.1926967007540213
Luteal,PLA/PLA,Group,ASD - CTRL,0,-0.7217963417270954,0.4841230161165031,Inf,-1.4909358111439113,0.13597834819354013
