Group,medication,term,contrast,null.value,estimate,std.error,df,statistic,p.value
ASD,NAL/OXT,phase,Follicular - Luteal,0,-0.20021125157918546,0.4858286554867786,Inf,-0.4121025989679072,0.6802642238200421
CTRL,NAL/OXT,phase,Follicular - Luteal,0,0.40416498413895813,0.48189415496285953,Inf,0.8387007395225781,0.40163726325087434
ASD,NAL/PLA,phase,Follicular - Luteal,0,0.23965116627537003,0.49072518605123105,Inf,0.4883612520559537,0.6252939826085813
CTRL,NAL/PLA,phase,Follicular - Luteal,0,-0.17920542355953506,0.5296528278095985,Inf,-0.33834507086584736,0.7351031626901778
ASD,PLA/OXT,phase,Follicular - Luteal,0,0.03137976202690482,0.441474892057098,Inf,0.07107938093758302,0.9433345782852854
CTRL,PLA/OXT,phase,Follicular - Luteal,0,0.33332343219186533,0.4271699679097948,Inf,0.7803063352577563,0.4352105847002636
ASD,PLA/PLA,phase,Follicular - Luteal,0,-0.29875189665762336,0.47263916479145407,Inf,-0.6320929768683976,0.5273261241304177
CTRL,PLA/PLA,phase,Follicular - Luteal,0,-0.23813657461029325,0.42814372715944593,Inf,-0.5562070853874925,0.5780692960997231
