model,term,p_value,p_display,sig,significant_0_05,highlight,Estimate,Std. Error,z value
full_phase_duration_beta,fix.L:medicationNAL/PLA:phaseLuteal,0.8080096181661314,0.808,,FALSE,,0.1835898914816149,0.755530896735449,0.24299455161249262
full_phase_duration_beta,fix.Q:medicationNAL/PLA:phaseLuteal,0.4800695262184098,0.480,,FALSE,,-0.5663837753479836,0.802026620742664,-0.706190743174486
full_phase_duration_beta,fix.C:medicationNAL/PLA:phaseLuteal,0.730198322797974,0.730,,FALSE,,-0.29120041243771927,0.8443975868957194,-0.34486172977858315
full_phase_duration_beta,fix.L:medicationPLA/OXT:phaseLuteal,0.7440279939327563,0.744,,FALSE,,-0.23744188735047764,0.7271806815929336,-0.3265239208917744
full_phase_duration_beta,fix.Q:medicationPLA/OXT:phaseLuteal,0.34593534258801517,0.346,,FALSE,,-0.7281124716288732,0.7725309343707645,-0.9425026743064073
full_phase_duration_beta,fix.C:medicationPLA/OXT:phaseLuteal,0.7312307910939664,0.731,,FALSE,,-0.2798608204984072,0.8147597492387972,-0.3434887655653974
full_phase_duration_beta,fix.L:medicationPLA/PLA:phaseLuteal,0.17802772218197446,0.178,,FALSE,,1.0450549021910462,0.7759237583858981,1.3468525623767513
full_phase_duration_beta,fix.Q:medicationPLA/PLA:phaseLuteal,0.9750643402671474,0.975,,FALSE,,0.025793854308948608,0.8252104643923673,0.03125730395086733
full_phase_duration_beta,fix.C:medicationPLA/PLA:phaseLuteal,0.777670819349727,0.778,,FALSE,,0.24584387184584222,0.8706886978571408,0.28235564840900157
full_phase_duration_beta,GroupCTRL:fix.L:medicationNAL/PLA:phaseLuteal,0.7336539751971236,0.734,,FALSE,,0.3794012138258262,1.115003823537641,0.34026898008481865
full_phase_duration_beta,GroupCTRL:fix.Q:medicationNAL/PLA:phaseLuteal,0.19645947940010955,0.196,,FALSE,,1.512380450442931,1.1708408431948765,1.2917045550922999
full_phase_duration_beta,GroupCTRL:fix.C:medicationNAL/PLA:phaseLuteal,0.8740906976718202,0.874,,FALSE,,-0.19355783961701112,1.22145776038645,-0.15846461981278212
full_phase_duration_beta,GroupCTRL:fix.L:medicationPLA/OXT:phaseLuteal,0.26862774571717757,0.269,,FALSE,,1.1444700444949816,1.0345695494634766,1.106228232880524
full_phase_duration_beta,GroupCTRL:fix.Q:medicationPLA/OXT:phaseLuteal,0.0883657077040952,0.088,.,FALSE,trend,1.8536692222541182,1.0877814951483353,1.7040823276749553
full_phase_duration_beta,GroupCTRL:fix.C:medicationPLA/OXT:phaseLuteal,0.8838572099825508,0.884,,FALSE,,0.1659813971070169,1.136226192276359,0.14608129810357867
full_phase_duration_beta,GroupCTRL:fix.L:medicationPLA/PLA:phaseLuteal,0.5235779541854082,0.524,,FALSE,,-0.6822184098510938,1.0695763830372982,-0.6378398220740291
full_phase_duration_beta,GroupCTRL:fix.Q:medicationPLA/PLA:phaseLuteal,0.13846521619819582,0.138,,FALSE,,1.6667728822236665,1.1250343357236179,1.4815306780406878
full_phase_duration_beta,GroupCTRL:fix.C:medicationPLA/PLA:phaseLuteal,0.5193153174642997,0.519,,FALSE,,-0.7580153323273753,1.1763096531229333,-0.6444011832385744
