Group,fix,phase,mean_var,se,n_observations,n_participants,lower,upper
ASD,Eyes,Follicular,0.24490027464374584,0.03764151957168023,25,14,0.2072587550720656,0.2825417942154261
ASD,Eyes,Luteal,0.22652402879329117,0.03937422776288824,21,12,0.18714980103040293,0.26589825655617944
ASD,Background,Follicular,0.523303822534862,0.04397065512669364,25,14,0.47933316740816834,0.5672744776615556
ASD,Background,Luteal,0.5533758079187768,0.05479271123059096,21,12,0.4985830966881859,0.6081685191493678
CTRL,Eyes,Follicular,0.29352008504012655,0.03342812820753973,22,10,0.26009195683258685,0.32694821324766626
CTRL,Eyes,Luteal,0.28035065108967316,0.04658191011570716,18,10,0.233768740973966,0.32693256120538033
CTRL,Background,Follicular,0.37766928898226826,0.0344620388338291,22,10,0.34320725014843917,0.41213132781609735
CTRL,Background,Luteal,0.37239980675832596,0.04940663510492722,18,10,0.32299317165339875,0.42180644186325317
