file,model,term,p_value,p_display,sig,highlight,significant_0_05,Sum Sq,Mean Sq,NumDF,DenDF,F value,statistic,parameter,estimate,conf_low,conf_high,method,Df,Estimate,Std. Error,t value,x,contrast,Sex,SE,df,lower.CL,upper.CL,t.ratio,p.value,Group,emmean,fix,Chisq
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,medication:Group:AUCg,0.00838428626133011,0.008 **,**,significant,TRUE,0.639450096978039,0.21315003232601296,3,177.25736050699612,4.0290970364397065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,Group:AUCg,0.03145260172324291,0.031 *,*,significant,TRUE,0.24841889144126633,0.24841889144126633,1,194.48120651771745,4.695771369955792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,AUCg,0.0594075383344213,0.059 .,.,trend,FALSE,0.1902285253918091,0.1902285253918091,1,194.48120652559123,3.5958201813929325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,medication:AUCg,0.14915867485890572,0.149,NA,NA,FALSE,0.28544758631260864,0.0951491954375362,3,177.25736052725645,1.7985704115242276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,medication:Group,0.19442625629768912,0.194,NA,NA,FALSE,0.25179118869015854,0.08393039623005284,3,172.3511200735073,1.5865055568018624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,medication,0.25606644916115473,0.256,NA,NA,FALSE,0.21618626383465825,0.07206208794488607,3,172.35112009609438,1.362163269740044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/01_aucg_predictor_model_anova.csv,aucg_predictor_model,Group,0.8490915603143235,0.849,NA,NA,FALSE,0.00192223379890132,0.00192223379890132,1,144.905977701921,0.03633528185748422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,Group:AUCi,0.00254486585110624,0.003 **,**,significant,TRUE,0.5055376334804497,0.5055376334804497,1,201.53081744409545,9.340588055337244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,medication:AUCi,0.14074246528930737,0.141,NA,NA,FALSE,0.29960940266767505,0.09986980088922502,3,173.95696495237897,1.845248716406153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,medication:Group:AUCi,0.32684148236102706,0.327,NA,NA,FALSE,0.1882368840994459,0.06274562803314863,3,173.956964945218,1.159322323238527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,Group,0.49826912066417495,0.498,NA,NA,FALSE,0.0250446364909562,0.0250446364909562,1,81.74397836115241,0.46273831454871395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,AUCi,0.5263558832613459,0.526,NA,NA,FALSE,0.02180174340122486,0.02180174340122486,1,201.53081744362467,0.402820859442275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,medication,0.731575250042128,0.732,NA,NA,FALSE,0.0698640774754756,0.02328802582515853,3,167.03297441774754,0.4302822212409498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_predictors/02_auci_predictor_model_anova.csv,auci_predictor_model,medication:Group,0.7641022549731851,0.764,NA,NA,FALSE,0.06247643887889757,0.02082547962629919,3,167.03297440562213,0.38478287937707406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_summary/01_aucg_model_anova.csv,aucg_model,medication,0.00160395816274072,0.002 **,**,significant,TRUE,155.81564480207018,51.93854826735673,3,173.19575654889363,5.303310494082532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_summary/01_aucg_model_anova.csv,aucg_model,Group:medication,0.13726928513845324,0.137,NA,NA,FALSE,54.801865715708495,18.26728857190283,3,173.19575655139042,1.865225471515407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_summary/01_aucg_model_anova.csv,aucg_model,Group,0.905756968159764,0.906,NA,NA,FALSE,0.13835363179346588,0.13835363179346588,1,64.72326005617026,0.01412693061053205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_summary/02_auci_model_anova.csv,auci_model,medication:Group,0.06391364829648971,0.064 .,.,trend,FALSE,87.48844303232369,29.162814344107897,3,174.26852436797287,2.465679666754603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_summary/02_auci_model_anova.csv,auci_model,medication,0.07560501857578354,0.076 .,.,trend,FALSE,82.83963938278092,27.61321312759364,3,174.2685243724713,2.334662812000687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/auc_summary/02_auci_model_anova.csv,auci_model,Group,0.1901544590214517,0.190,NA,NA,FALSE,20.72517759792232,20.72517759792232,1,66.02514190615774,1.7522879784543062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/rank_correlations/01_spearman_auci_eye_rate_asd.csv,NA,spearman_auci_eye_rate_asd,0.0968948634106694,0.097 .,.,trend,FALSE,NA,NA,NA,NA,NA,4650.000000000001,NA,0.28953399541634833,NA,NA,Spearman's rank correlation rho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/rank_correlations/02_spearman_auci_eye_rate_ctrl.csv,NA,spearman_auci_eye_rate_ctrl,0.2627130556162649,0.263,NA,NA,FALSE,NA,NA,NA,NA,NA,11692,NA,-0.1834008097165992,NA,NA,Spearman's rank correlation rho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/rank_correlations/03_spearman_t2t3_eye_rate_asd.csv,NA,spearman_t2t3_eye_rate_asd,0.9340082334037156,0.934,NA,NA,FALSE,NA,NA,NA,NA,NA,6641.999999999999,NA,-0.01482047364400305,NA,NA,Spearman's rank correlation rho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
main_manuscript/cortisol/rank_correlations/04_spearman_t2t3_eye_rate_ctrl.csv,NA,spearman_t2t3_eye_rate_ctrl,0.3471526759101045,0.347,NA,NA,FALSE,NA,NA,NA,NA,NA,11404,NA,-0.154251012145749,NA,NA,Spearman's rank correlation rho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
