contrast,fix,Sex,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,Eyes,f,-0.2084108319565857,0.06855436717564592,282.5929480695655,-0.3433528438305799,-0.07346882008259148,-3.0400810414106494,0.002586821223128532
ASD - CTRL,Mouth,f,-0.034120993565788224,0.06855436717564593,282.5929480695655,-0.16906300543978248,0.10082101830820601,-0.4977216619674344,0.6190673114751126
ASD - CTRL,Face,f,-0.19460273645533768,0.06855436717564593,282.5929480695598,-0.3295447483293319,-0.059660724581343444,-2.8386628667541793,0.004858828394623074
ASD - CTRL,Background,f,0.10695393985874813,0.06855436717564595,282.5929480695655,-0.02798807201524614,0.2418959517327424,1.5601331361533404,0.1198475818146824
ASD - CTRL,Eyes,m,0.03389687352711353,0.06907298691491871,283.2282706748275,-0.10206467471352366,0.16985842176775073,0.49073994105490637,0.6239903857124971
ASD - CTRL,Mouth,m,0.02816521540395589,0.0690729869149187,283.2282706748275,-0.10779633283668127,0.16412676364459305,0.40776020644146543,0.683757781469474
ASD - CTRL,Face,m,0.07651810894509654,0.06907298691491869,283.2282706748275,-0.05944343929554059,0.2124796571857337,1.1077863049320347,0.2688939908077168
ASD - CTRL,Background,m,0.05480647345454876,0.06907298691491871,283.2282706748275,-0.08115507478608844,0.19076802169518595,0.7934574122595442,0.4281755893649535
