contrast,Group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
f - m,ASD,-0.016289121344761185,0.02538620410778122,158.86633290856167,-0.06642710180858354,0.03384885911906116,-0.6416525005315129,0.5220235422603827
f - m,CTRL,-0.09054570323801202,0.03661784832281271,157.53381134694425,-0.16287097693409816,-0.018220429541925875,-2.47272047335459,0.014471268674454854
