contrast,Group,timepoint,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
f - m,ASD,1,0.3004634849319021,0.18312737798075981,91.91871206980095,-0.0632475803206789,0.6641745501844831,1.6407349258474622,0.10427013870737509
f - m,CTRL,1,-0.12953176385585757,0.1700111787573593,94.03193223190516,-0.4670914502146478,0.20802792250293267,-0.7619014514376485,0.44802561856192946
f - m,ASD,2,0.2881270799934798,0.18334341548697158,92.33850392712075,-0.07599098374825575,0.6522451437352154,1.5715158312514046,0.11948332326235442
f - m,CTRL,2,0.04113385422631108,0.1700111787573589,94.03193223190516,-0.2964258321324784,0.3786935405851005,0.2419479385236049,0.8093473833075578
f - m,ASD,3,0.3967860681121315,0.18352825913107054,92.68983915470778,0.0323192454061782,0.7612528908180849,2.161988949226388,0.03319435697243469
f - m,CTRL,3,0.06532348280412939,0.17018725853198932,94.40448618224127,-0.2725684344988978,0.4032154001071566,0.38383298119730175,0.7019653594350266
