contrast,Sex,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
ASD - CTRL,f,-0.22796655412249775,0.13605295389438077,Inf,-0.49462544374577244,0.03869233550077697,-1.6755722503421013,0.09382200804820331
ASD - CTRL,m,-0.031122320991719687,0.13723563149947002,Inf,-0.3000992161262914,0.23785457414285205,-0.22678017838129652,0.820594677530075
