contrast,q_type,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
ASD - CTRL,closed,-0.09455002173730462,0.09825394649051891,Inf,-0.2871242181976473,0.09802417472303804,-0.962302534549371,0.3358976562024351
ASD - CTRL,open,-0.16453885337691276,0.09806129934330993,Inf,-0.35673546836700143,0.027657761613175902,-1.6779183477965833,0.09336304016660783
