contrast,fix,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,Eyes,-0.08725697921473612,0.04864475585385831,283.15302455150874,-0.183008215075174,0.00849425664570179,-1.7937592178873119,0.07391850246654866
ASD - CTRL,Mouth,-0.00297788908091616,0.04864475585385831,283.15302455150874,-0.09872912494135407,0.09277334677952175,-0.06121706294225271,0.951229527552428
ASD - CTRL,Face,-0.059042313755120535,0.04864475585385829,283.15302455150294,-0.1547935496155584,0.03670892210531734,-1.213744682623123,0.22585665747231218
ASD - CTRL,Background,0.08088020665664844,0.048644755853858315,283.15302455150874,-0.01487102920378948,0.17663144251708635,1.6626706257840809,0.09748488493948379
