contrast,Sex,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,f,-0.06952185529531854,1.0285887262014866,62.48614987380164,-2.1253232596959095,1.9862795491052725,-0.06758955598517824,0.946328180603502
ASD - CTRL,m,1.772290690077064,1.041463437066874,63.660284196368295,-0.3084855514116216,3.85306693156575,1.701731070913498,0.09368529218512452
