contrast,medication,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,fix,panel
CTRL - ASD,BOTH,0.049976295070096446,0.2542899637055879,Inf,-0.4484228754228532,0.5483754655630461,0.19653270755096752,0.8441932348952577,Eyes,Overall
CTRL - ASD,NAL,0.23300711655946704,0.2564334925699862,Inf,-0.26959329330752535,0.7356075264264594,0.908645412205172,0.3635373272502958,Eyes,Overall
CTRL - ASD,OXT,0.19148100533573775,0.25351955500799095,Inf,-0.3054081918565455,0.688370202528021,0.7552908702829739,0.45007447541511053,Eyes,Overall
CTRL - ASD,PLA,0.58684722221233,0.2545867684471887,Inf,0.08786632511540204,1.0858281193092578,2.305097102224561,0.021161135756543676,Eyes,Overall
CTRL - ASD,BOTH,0.004755420389535432,0.3737023294476301,Inf,-0.7276876862665415,0.7371985270456124,0.012725155865537218,0.9898470686118231,Eyes,Female
CTRL - ASD,NAL,0.5496531957072858,0.37634136595087586,Inf,-0.1879623274490393,1.287268718863611,1.460517618940227,0.14414786887190467,Eyes,Female
CTRL - ASD,OXT,0.4861679323933026,0.3749567001694987,Inf,-0.24873369570089832,1.2210695604875035,1.296597532924551,0.19476970177083194,Eyes,Female
CTRL - ASD,PLA,0.9340652690828398,0.3747428098482361,Inf,0.19958285831495537,1.6685476798507244,2.4925502091984604,0.012682939739013794,Eyes,Female
CTRL - ASD,BOTH,0.1391957450298368,0.35260614456734235,Inf,-0.5518995990496777,0.8302910891093512,0.3947626755076373,0.6930180429873831,Eyes,Male
CTRL - ASD,NAL,-0.018198555912976914,0.3558796127386481,Inf,-0.7157097797127888,0.679312667886835,-0.05113683184302446,0.9592164868066687,Eyes,Male
CTRL - ASD,OXT,-0.11446517671250239,0.3491505991059716,Inf,-0.7987877761407893,0.5698574227157847,-0.3278389812464872,0.7430334119085493,Eyes,Male
CTRL - ASD,PLA,0.26196932002943796,0.35178078983661537,Inf,-0.42750835850338187,0.9514469985622578,0.7446947860658043,0.45645625186373884,Eyes,Male
CTRL - ASD,BOTH,-0.3821475514934707,0.24544865477228367,Inf,-0.8632180749009518,0.09892297191401045,-1.5569347970067717,0.11948596682735164,Background,Overall
CTRL - ASD,NAL,-0.0824627645690571,0.24739129466455365,Inf,-0.5673407922003182,0.402415263062204,-0.33332928986394283,0.7388857322406432,Background,Overall
CTRL - ASD,OXT,-0.287431543878876,0.24539257920670748,Inf,-0.7683921611974152,0.19352907343966314,-1.1713131049360577,0.24147294571497702,Background,Overall
CTRL - ASD,PLA,-0.5480039498749163,0.2460415186569042,Inf,-1.0302364651439881,-0.06577143460584439,-2.2272824231713817,0.025928404491566484,Background,Overall
CTRL - ASD,BOTH,-0.6991058499044462,0.3971518937009799,Inf,-1.4775092579502467,0.0792975581413542,-1.7602984172871925,0.07835722239712975,Background,Female
CTRL - ASD,NAL,-0.6598727029417301,0.4004154565073581,Inf,-1.444672576549316,0.12492717066585601,-1.6479701075914988,0.09935880542151648,Background,Female
CTRL - ASD,OXT,-0.8541921598255688,0.40046267892798676,Inf,-1.6390845876768498,-0.06929973197428774,-2.1330131489710533,0.03292364756808304,Background,Female
CTRL - ASD,PLA,-0.9926493658845743,0.3985948993222493,Inf,-1.7738810129775515,-0.2114177187915971,-2.490371471316932,0.012760964182274683,Background,Female
CTRL - ASD,BOTH,-0.09598284708162434,0.28006287523976153,Inf,-0.6448959959582913,0.4529303017950426,-0.34271892338266374,0.7318099251829051,Background,Male
CTRL - ASD,NAL,0.49206666590528875,0.28185132683826264,Inf,-0.06035178369253341,1.044485115503111,1.7458376777046571,0.08083916183011554,Background,Male
CTRL - ASD,OXT,0.19815959067668132,0.2768700904559346,Inf,-0.3444958150132973,0.7408149963666599,0.7157132442524322,0.4741684311251314,Background,Male
CTRL - ASD,PLA,-0.07824269266348016,0.27960116011461245,Inf,-0.6262508965237374,0.4697655111967771,-0.2798367954961538,0.7796027202979949,Background,Male
