progress_bin,progress_start,progress_midpoint,progress_end
01,0,0.05,0.1
02,0.10000000000000002,0.15000000000000002,0.2
03,0.2,0.25,0.3
04,0.30000000000000004,0.35000000000000003,0.4
05,0.4,0.45,0.5
06,0.5,0.55,0.6000000000000001
07,0.6000000000000001,0.6500000000000001,0.7000000000000002
08,0.7000000000000001,0.7500000000000001,0.8000000000000002
09,0.8,0.8500000000000001,0.9000000000000001
10,0.8999999999999999,0.95,1
