contrast,Sex,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,f,0.0518988784637781,0.017328283047711862,168.9440206854422,0.017691025405625033,0.08610673152193117,2.9950387075787734,0.0031568818864269677
ASD - CTRL,m,0.02634808402384859,0.016617831051652814,198.4339824158195,-0.006422128549077914,0.059118296596775095,1.5855308639227021,0.1144380607249018
