scenario_shift,successful_fits,total_runs,detect_rate_group_fix_medication,detect_rate_medication,median_p_group_fix_medication,median_p_medication,scenario_label
0,100,100,0.05,0.15,0.5953564551442876,0.39364620724458826,Null baseline
0.02,100,100,0.09,0.13,0.4449175033351529,0.443487050670724,+/-2% shift
0.05,100,100,0.16,0.09,0.25277206867535645,0.3929847627604107,+/-5% shift
0.08,100,100,0.27,0.09,0.1809263452755462,0.4046314476312119,+/-8% shift
0.12,100,100,0.55,0.12,0.03743923712103114,0.4306525395293803,+/-12% shift
0.16,100,100,0.81,0.1,0.0010909951571665246,0.3813358907887859,+/-16% shift
0.2,100,100,0.99,0.08,1.8996699266017342e-5,0.434438521405418,+/-20% shift
0.24,100,100,1,0.11,9.988045054787975e-9,0.351988919633239,+/-24% shift
