scenario_shift,simulation,converged,pdHess,p_group_fix_medication,p_medication,error,scenario_label
0,1,TRUE,TRUE,0.7317393474237976,0.9995377131653622,NA,Null baseline
0,2,TRUE,TRUE,0.5815481859481609,0.7007489220616684,NA,Null baseline
0,3,TRUE,TRUE,0.5825763784641438,0.9179828362290106,NA,Null baseline
0,4,TRUE,TRUE,0.6284703736570423,4.000077909490461e-4,NA,Null baseline
0,5,TRUE,TRUE,0.7994659403520226,0.35335979689836167,NA,Null baseline
0,6,TRUE,TRUE,0.9471133236943365,0.536047823833229,NA,Null baseline
0,7,TRUE,TRUE,0.9660444686618689,0.13381811661393803,NA,Null baseline
0,8,TRUE,TRUE,0.8248348780524396,0.907409208881371,NA,Null baseline
0,9,TRUE,TRUE,0.2441879314998376,0.21548593680931205,NA,Null baseline
0,10,TRUE,TRUE,0.6287204710901197,0.003630799809464005,NA,Null baseline
0,11,TRUE,TRUE,0.4723937892837071,0.5222674427327907,NA,Null baseline
0,12,TRUE,TRUE,0.24247997862245968,0.031627259014101225,NA,Null baseline
0,13,TRUE,TRUE,0.12994684894510233,0.2150207413835611,NA,Null baseline
0,14,TRUE,TRUE,0.3195505033236029,0.003361451802049703,NA,Null baseline
0,15,TRUE,TRUE,0.26696679907285104,0.42435909315658926,NA,Null baseline
0,16,TRUE,TRUE,0.6467191968983053,0.24390560544439052,NA,Null baseline
0,17,TRUE,TRUE,0.6390248661412814,0.28795443133871135,NA,Null baseline
0,18,TRUE,TRUE,0.6516728337004967,0.8421324360988813,NA,Null baseline
0,19,TRUE,TRUE,0.7376482119796701,0.501719453982968,NA,Null baseline
0,20,TRUE,TRUE,0.9911913800940259,0.9407621868120073,NA,Null baseline
0,21,TRUE,TRUE,0.63422979923994,0.2955636199958235,NA,Null baseline
0,22,TRUE,TRUE,0.5118147612438066,0.9735879107398845,NA,Null baseline
0,23,TRUE,TRUE,0.9511407079934601,0.37002936733025565,NA,Null baseline
0,24,TRUE,TRUE,0.227579283951385,0.9856458218887141,NA,Null baseline
0,25,TRUE,TRUE,0.6326531422773456,0.46321245499338937,NA,Null baseline
0,26,TRUE,TRUE,0.46966829810417243,0.7156882987378741,NA,Null baseline
0,27,TRUE,TRUE,0.6650185406270742,0.13631820822138316,NA,Null baseline
0,28,TRUE,TRUE,0.5905220021135227,0.19489231448447986,NA,Null baseline
