scenario_shift,simulation,converged,pdHess,p_group_fix_medication,p_medication,error
0,1,TRUE,TRUE,3.356436873847188e-4,0.282092963275353,NA
0,2,TRUE,TRUE,0.36165476691325743,0.2376911736716532,NA
0,3,TRUE,TRUE,0.0059601601534403584,0.5834720025394352,NA
0,4,TRUE,TRUE,0.01416023574910997,0.1669435541275915,NA
0,5,TRUE,TRUE,0.6149377787547037,0.08315413126799052,NA
0,6,TRUE,TRUE,0.021106713202051004,0.6488052568887659,NA
0,7,TRUE,TRUE,0.1631469457464445,0.07716254241275382,NA
0,8,TRUE,TRUE,0.0527726209389753,0.5575471972093627,NA
0,9,TRUE,TRUE,0.013526887706986948,0.7579900754473741,NA
0,10,TRUE,TRUE,0.08325690949925975,0.02543559206469672,NA
0,11,TRUE,TRUE,0.6719652538675509,0.5100756693933183,NA
0,12,TRUE,TRUE,7.586423266075938e-5,0.5488086010972526,NA
0,13,TRUE,TRUE,0.04804922496688656,0.9499073982194164,NA
0,14,TRUE,TRUE,0.0044113440748666565,0.030775725799705066,NA
0,15,TRUE,TRUE,0.6194451832567421,0.7148958447852777,NA
0,16,TRUE,TRUE,0.09088960679563127,0.7527429683658626,NA
0,17,TRUE,TRUE,0.11136164356556637,0.3442971689714954,NA
0,18,TRUE,TRUE,0.0834129461917941,0.26613616975304893,NA
0,19,TRUE,TRUE,0.019107277640413586,0.6331549351889657,NA
0,20,TRUE,TRUE,0.002525356271526904,0.2705134138031841,NA
0,21,TRUE,TRUE,0.1324707890908985,0.08396704668301358,NA
0,22,TRUE,TRUE,0.9440914476508601,0.8849676956315797,NA
0,23,TRUE,TRUE,0.0065227082005031335,0.9203067342013405,NA
0,24,TRUE,TRUE,0.3919747022902605,0.1274618207229447,NA
0,25,TRUE,TRUE,0.001236365934446223,0.5571529740964931,NA
0.02,1,TRUE,TRUE,0.05328013152115152,0.13774530018584508,NA
0.02,2,TRUE,TRUE,0.04518034059020719,0.4434806226557028,NA
0.02,3,TRUE,TRUE,0.011113981457808597,0.10749586566740355,NA
0.02,4,TRUE,TRUE,0.5814181788033269,0.9078427213743212,NA
0.02,5,TRUE,TRUE,0.005683763235576754,0.21315856713420928,NA
0.02,6,TRUE,TRUE,0.7057745838551088,4.759894295108293e-4,NA
0.02,7,TRUE,TRUE,2.2218436044170613e-4,0.3915542735069003,NA
0.02,8,TRUE,TRUE,0.14678980766059854,0.5136959123871062,NA
0.02,9,TRUE,TRUE,0.2670987017965154,0.14881454512252557,NA
0.02,10,TRUE,TRUE,0.041216742935320606,0.8722694126628392,NA
0.02,11,TRUE,TRUE,0.09533833584377518,0.09623602375898987,NA
0.02,12,TRUE,TRUE,0.03444340337045524,0.17977192206349427,NA
0.02,13,TRUE,TRUE,0.0016237723890482876,0.14811014746055273,NA
0.02,14,TRUE,TRUE,0.004261967942302088,0.04336782912163096,NA
0.02,15,TRUE,TRUE,1.7884779147059083e-5,0.8268735361820905,NA
0.02,16,TRUE,TRUE,0.28907998246124433,0.2674766280547022,NA
0.02,17,TRUE,TRUE,0.27792109545025756,0.38659275446948266,NA
0.02,18,TRUE,TRUE,0.00958597151917958,0.037650428681344016,NA
0.02,19,TRUE,TRUE,0.3040315301337952,0.5217292097230718,NA
0.02,20,TRUE,TRUE,3.9051437741712756e-4,0.03435515349214778,NA
0.02,21,TRUE,TRUE,0.347756978801675,5.848607294459788e-4,NA
0.02,22,TRUE,TRUE,0.34699700884246054,0.3748884969871943,NA
0.02,23,TRUE,TRUE,0.022034507296011082,0.8201869805411772,NA
0.02,24,TRUE,TRUE,2.6768648550306863e-4,0.008387571438394081,NA
0.02,25,TRUE,TRUE,0.048071004044775316,0.005191664023654814,NA
0.05,1,TRUE,TRUE,4.830346989672527e-5,0.41595158538490296,NA
0.05,2,TRUE,TRUE,1.1633459912234492e-4,0.17509559810927283,NA
0.05,3,TRUE,TRUE,0.014606544017352488,0.27619274211226974,NA
0.05,4,TRUE,TRUE,0.0013806249324703006,0.4688837777801239,NA
0.05,5,TRUE,TRUE,0.004682955529616146,0.8479024286789804,NA
0.05,6,TRUE,TRUE,0.06002452409690183,0.2846856073150064,NA
0.05,7,TRUE,TRUE,5.913982454624352e-4,0.8382757536297512,NA
0.05,8,TRUE,TRUE,0.006209315535118846,0.6999023894093044,NA
0.05,9,TRUE,TRUE,0.04059480660178049,0.5915095652007846,NA
0.05,10,TRUE,TRUE,0.6305851591203584,0.7922829763788239,NA
0.05,11,TRUE,TRUE,0.0029523078118886053,0.7956622422256898,NA
0.05,12,TRUE,TRUE,0.006390844684377822,0.02933629160626436,NA
0.05,13,TRUE,TRUE,3.67020322402351e-5,0.258023454178297,NA
0.05,14,TRUE,TRUE,1.6287839898291946e-5,0.28083116130482133,NA
0.05,15,TRUE,TRUE,2.4508561295672278e-5,0.45223252633908534,NA
0.05,16,TRUE,TRUE,1.8047578994970158e-4,0.5813341370359694,NA
0.05,17,TRUE,TRUE,0.465003246677528,0.8381013596479667,NA
0.05,18,TRUE,TRUE,0.005050465329513653,0.8654939341508081,NA
0.05,19,TRUE,TRUE,0.06599509122535391,0.3423380343394978,NA
