scenario_shift,simulation,converged,pdHess,p_group_fix_medication,p_medication,error
0.05,20,TRUE,TRUE,0.38147908040715894,0.843831838287504,NA
0.05,21,TRUE,TRUE,0.06471522339816248,0.38534849252050807,NA
0.05,22,TRUE,TRUE,0.03034384117507763,0.6862163657790764,NA
0.05,23,TRUE,TRUE,0.028418244719566128,0.08449053839109258,NA
0.05,24,TRUE,TRUE,0.0029979106538103374,0.15566658471070952,NA
0.05,25,TRUE,TRUE,1.2951725691020494e-4,0.16210105133447453,NA
0.08,1,TRUE,TRUE,5.2444726106805854e-5,0.39151364346522183,NA
0.08,2,TRUE,TRUE,0.0024116296482446895,0.23736180881573946,NA
0.08,3,TRUE,TRUE,1.156182857258121e-6,0.9169802334905164,NA
0.08,4,TRUE,TRUE,0.002043568766670143,0.088278649230069145,NA
0.08,5,TRUE,TRUE,0.02469849820837358,0.6562990846541582,NA
0.08,6,TRUE,TRUE,7.448350478088837e-4,0.02172041712130358,NA
0.08,7,TRUE,TRUE,0.03309993828762692,0.2562295003039865,NA
0.08,8,TRUE,TRUE,0.12312233354897072,0.870918510789425,NA
0.08,9,TRUE,TRUE,0.03658019005928297,0.4833121948614578,NA
0.08,10,TRUE,TRUE,0.0012861626707513726,0.9116236158306003,NA
0.08,11,TRUE,TRUE,1.9286978011981364e-4,0.12087582246493277,NA
0.08,12,TRUE,TRUE,7.515442093822577e-4,0.8196091260540443,NA
0.08,13,TRUE,TRUE,0.014778923610725365,0.642077853588221,NA
0.08,14,TRUE,TRUE,0.03526372851341619,0.024717241056820115,NA
0.08,15,TRUE,TRUE,1.6414778217086637e-5,0.6837633085563141,NA
0.08,16,TRUE,TRUE,0.0021766373962675187,0.009538479730955372,NA
0.08,17,TRUE,TRUE,0.007099377827417193,0.2925793334148622,NA
0.08,18,TRUE,TRUE,7.272047794665511e-8,0.23670666841457044,NA
0.08,19,TRUE,TRUE,5.556773440549405e-6,0.032017237096156,NA
0.08,20,TRUE,TRUE,7.70834577827375e-4,0.48338741352113396,NA
0.08,21,TRUE,TRUE,0.003501863968906898,0.011422418211178254,NA
0.08,22,TRUE,TRUE,0.0010100971392041096,0.632988104740145,NA
0.08,23,TRUE,TRUE,2.3486228461854457e-4,0.013042190898469225,NA
0.08,24,TRUE,TRUE,0.0017687809296162995,0.20245623182014094,NA
0.08,25,TRUE,TRUE,0.07152832241359747,0.12427192729533791,NA
