contrast,Group,q_type,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
f - m,ASD,closed,-0.2648922274292392,0.1442717802949567,Inf,-0.5476597207928297,0.017875265934351292,-1.8360640375247315,0.0663481862529865
f - m,CTRL,closed,0.004657380940470399,0.13343658394729072,Inf,-0.2568735178162749,0.2661882796972157,0.03490332862770324,0.9721568263709505
f - m,ASD,open,-0.1875137691971444,0.14399621199347537,Inf,-0.4697411586145506,0.09471362022026181,-1.3022132082588456,0.19284351121404736
f - m,CTRL,open,-0.06337491130529786,0.13316711612569218,Inf,-0.32437766283671754,0.1976278402261218,-0.4759051119307886,0.634141980149064
