model,contrast,fix,Sex,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p_value,p_display,sig,significant_0_05,highlight
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Eyes,f,-0.5789902009748219,0.1518487392696118,Inf,-0.8766082610410739,-0.2813721409085699,-3.812940454822007,1.3732320578747095e-4,<0.001 ***,***,TRUE,significant
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Mouth,f,0.0671026959696481,0.1674536059428144,Inf,-0.2611003407596304,0.39530573269892655,0.40072410260644825,0.6886232633187854,0.689,,FALSE,
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Face,f,-0.3958669331102046,0.16075211098689235,Inf,-0.7109352810832991,-0.08079858513711013,-2.46259243925253,0.013793661084531686,0.014 *,*,TRUE,significant
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Background,f,0.6732318378390809,0.14206921496514416,Inf,0.3947812931955196,0.9516823824826423,4.738759470193838,2.1503056166492923e-6,<0.001 ***,***,TRUE,significant
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Eyes,m,-0.0834264035160471,0.14868219225323812,Inf,-0.37483814547485395,0.20798533844275977,-0.5611055517257493,0.5747255837142433,0.575,,FALSE,
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Mouth,m,-0.012873808865074554,0.1686026818828273,Inf,-0.3433289930522798,0.3175813753221307,-0.07635589612994045,0.9391359569124129,0.939,,FALSE,
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Face,m,0.10340430972730572,0.15572116590791518,Inf,-0.20180356708279448,0.40861218653740594,0.6640350341870241,0.5066678883964999,0.507,,FALSE,
duration_beta_glmmtmb_sex_interaction,ASD - CTRL,Background,m,0.06968061919686257,0.1482282798869728,Inf,-0.2208414708719269,0.36020270926565207,0.47008991300442476,0.6382907805180127,0.638,,FALSE,
