model,contrast,Group,fix,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p_value,p_display,sig,significant_0_05,highlight
duration_beta_glmmtmb_sex_interaction,f - m,ASD,Eyes,-0.5931242948300817,0.15610460704052637,Inf,-0.899083702450291,-0.2871648872098723,-3.7995310072821904,1.4497017396636404e-4,<0.001 ***,***,TRUE,significant
duration_beta_glmmtmb_sex_interaction,f - m,CTRL,Eyes,-0.09756049737130687,0.14404314010220298,Inf,-0.37987986419168185,0.18475886944906808,-0.6773005455316007,0.4982152848477134,0.498,,FALSE,
duration_beta_glmmtmb_sex_interaction,f - m,ASD,Mouth,-0.021727431237585353,0.17172366360768102,Inf,-0.35829962720191166,0.31484476472674094,-0.12652555146519426,0.8993159244287475,0.899,,FALSE,
duration_beta_glmmtmb_sex_interaction,f - m,CTRL,Mouth,-0.10170393607230803,0.16418240112530058,Inf,-0.42349552917320554,0.22008765702858946,-0.6194569903670109,0.5356153472296584,0.536,,FALSE,
duration_beta_glmmtmb_sex_interaction,f - m,ASD,Face,-0.621194830721065,0.16313705103421175,Inf,-0.9409375752921927,-0.30145208614993724,-3.807809610281561,1.4020314758355907e-4,<0.001 ***,***,TRUE,significant
duration_beta_glmmtmb_sex_interaction,f - m,CTRL,Face,-0.12192358788355454,0.1533343249158171,Inf,-0.4224533423123187,0.17860616654520958,-0.7951486919219976,0.42652701346911315,0.427,,FALSE,
duration_beta_glmmtmb_sex_interaction,f - m,ASD,Background,0.9247719044398667,0.14855443571168023,Inf,0.6336105607013027,1.2159332481784306,6.225138280183684,4.811314671654419e-10,<0.001 ***,***,TRUE,significant
duration_beta_glmmtmb_sex_interaction,f - m,CTRL,Background,0.32122068579764823,0.14186978503713352,Inf,0.04316101663042715,0.5992803549648693,2.2641937866725517,0.02356219857323795,0.024 *,*,TRUE,significant
