model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
auci_summary_sex_interaction,Group,0.24876731705392294,0.249,,FALSE,,15.943720058376845,15.943720058376845,1,61.95466847318682,1.3555892662563358
auci_summary_sex_interaction,medication,0.04701831206456599,0.047 *,*,TRUE,significant,95.50394301156115,31.834647670520383,3,166.37179188314127,2.7066899393116333
auci_summary_sex_interaction,Sex,0.5023431419248441,0.502,,FALSE,,5.354894832536452,5.354894832536452,1,61.95466848136725,0.4552913579979741
auci_summary_sex_interaction,Group:medication,0.06173624758327575,0.062 .,.,FALSE,trend,88.0283479802015,29.34278266006717,3,166.371791900593,2.494823107181993
auci_summary_sex_interaction,Group:Sex,0.21262027888017745,0.213,,FALSE,,18.65387783951717,18.65387783951717,1,61.95466847992893,1.586016091647356
auci_summary_sex_interaction,medication:Sex,0.6221467868751045,0.622,,FALSE,,20.830303959927463,6.943434653309154,3,166.37179188879253,0.5903544124279116
auci_summary_sex_interaction,Group:medication:Sex,0.1853378048971025,0.185,,FALSE,,57.36455829289676,19.121519430965588,3,166.3717919223322,1.6257765690956187
