contrast,q_type,Sex,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
ASD - CTRL,closed,f,-0.22932482592215941,0.13833985794020678,Inf,-0.5004659651113521,0.04181631326703322,-1.6576916395365833,0.09737972217173962
ASD - CTRL,open,f,-0.22660828232283603,0.13802977905725736,Inf,-0.4971416780690814,0.04392511342340932,-1.6417347319583453,0.10064499044687604
ASD - CTRL,closed,m,0.040224782447550206,0.13957665634574917,Inf,-0.2333404370726421,0.31379000196774254,0.2881913315641284,0.7732002838521616
ASD - CTRL,open,m,-0.10246942443098948,0.13934109288332092,Inf,-0.37557294804874886,0.17063409918676986,-0.7353855371063696,0.4621047275083061
