model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
eyes_only_group_medication,Group,0.22124666407356874,0.221,,FALSE,,0.08453517097468086,0.08453517097468086,1,67.28013204313164,1.5244199490749597
eyes_only_group_medication,medication,0.941648916312409,0.942,,FALSE,,0.021764606922056368,0.0072548689740187895,3,170.96025253319107,0.13082681284493589
eyes_only_group_medication,Sex,0.42175778941231384,0.422,,FALSE,,0.09675491895771693,0.048377459478858464,2,82.7946265110415,0.8723891306403756
eyes_only_group_medication,session,0.5272052127461229,0.527,,FALSE,,0.12378203732483706,0.04126067910827902,3,170.66568529788847,0.7440524650252346
eyes_only_group_medication,Group:medication,0.4617236083305246,0.462,,FALSE,,0.14350576348164262,0.047835254493880874,3,171.09774347862898,0.8626115660355168
