model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
t2t3_predictor_model,medication,0.7306820463969484,0.731,,FALSE,,0.0691970952764259,0.0230656984254753,3,166.2703807052869,0.4315425497938714
t2t3_predictor_model,Group,0.22835883843505717,0.228,,FALSE,,0.07882646674325684,0.07882646674325684,1,75.86136155410237,1.474786231144696
t2t3_predictor_model,T2T3,0.17654121804828887,0.177,,FALSE,,0.09842261697342686,0.09842261697342686,1,174.15676681371087,1.8414160413710936
t2t3_predictor_model,medication:Group,0.7209080920242736,0.721,,FALSE,,0.07141158378392634,0.02380386126130878,3,166.27038069640503,0.4453530430407105
t2t3_predictor_model,medication:T2T3,0.09501473486009629,0.095 .,.,FALSE,trend,0.34566444200687046,0.11522148066895682,3,174.07369954659654,2.1557106419109995
t2t3_predictor_model,Group:T2T3,0.013767984000836862,0.014 *,*,TRUE,significant,0.33099093788625406,0.33099093788625406,1,174.15676682502095,6.192601267011304
t2t3_predictor_model,medication:Group:T2T3,0.0818806046343931,0.082 .,.,FALSE,trend,0.3643681195455829,0.12145603984852764,3,174.07369955259696,2.2723547389404324
