contrast,Group,label,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
f - m,ASD,1,-0.3155572013510269,0.15360546992080265,Inf,-0.6166183902241507,-0.014496012477903164,-2.054335705061316,0.039943211244162294
f - m,CTRL,1,0.03031685158642532,0.14277515417150882,Inf,-0.24951730847688558,0.31015101164973624,0.21233982734844165,0.8318419260556285
f - m,ASD,2,-0.22443466980691174,0.15360546992080262,Inf,-0.5254958586800353,0.07662651906621193,-1.4611111825811145,0.1439849318519705
f - m,CTRL,2,0.07585338740621818,0.14277515417150877,Inf,-0.20398077265709263,0.35568754746952896,0.5312786236959635,0.5952257162196948
f - m,ASD,3,-0.2069981214166866,0.1535294440925585,Inf,-0.507910302404557,0.09391405957118376,-1.3482633421892245,0.1775736980337171
f - m,CTRL,3,0.01500939786500512,0.14269929418163496,Inf,-0.2646760793502854,0.2946948750802956,0.10518200493620095,0.9162313894897322
f - m,ASD,4,-0.3081708337799455,0.15352944409255848,Inf,-0.6090830147678158,-0.00725865279207516,-2.0072425559891833,0.04472384236494541
f - m,CTRL,4,-0.015141803152945183,0.142699294181635,Inf,-0.29482728036823574,0.2645436740623454,-0.10610986718457008,0.9154951824652122
f - m,ASD,5,-0.2967406677163816,0.15352944409255853,Inf,-0.5976528487042521,0.004171513271488847,-1.9327932141634347,0.05326167662474035
f - m,CTRL,5,-0.038759154564395576,0.14269929418163502,Inf,-0.3184446317796862,0.24092632265089506,-0.27161419954229715,0.7859186801390888
f - m,ASD,6,-0.21550377436300544,0.15375259093029295,Inf,-0.5168533151160993,0.08584576639008845,-1.4016269453352415,0.1610266763073308
f - m,CTRL,6,-0.10066915118533871,0.14292502967813964,Inf,-0.3807970618438107,0.17945875947313328,-0.7043493460315583,0.4812152427794144
f - m,ASD,7,-0.24462823785642301,0.1535294440925585,Inf,-0.5455404188442934,0.056283943131447356,-1.59336366585776,0.11107863177960153
f - m,CTRL,7,-0.06779141240377937,0.14277613576589018,Inf,-0.3476274963567252,0.21204467154916642,-0.47480912717050167,0.6349230268744002
f - m,ASD,8,-0.21414876399404414,0.1538891906330894,Inf,-0.5157660352449179,0.08746850725682964,-1.391577687250489,0.16405031944484516
f - m,CTRL,8,-0.02178721225364071,0.1429467271851441,Inf,-0.3019576492443957,0.2583832247371143,-0.15241490786579528,0.8788596996684875
f - m,ASD,9,-0.22688321125458746,0.15369317126445775,Inf,-0.5281162916026709,0.07434986909349603,-1.4762087956672623,0.1398878490406494
f - m,CTRL,9,-0.04927001923283235,0.1428881047253598,Inf,-0.329325558313725,0.23078551984806028,-0.34481540172663444,0.7302331535083715
f - m,ASD,10,-0.10765545317998708,0.15402777988949967,Inf,-0.4095443543820692,0.19423344802209502,-0.6989353041199429,0.4845924631095781
f - m,CTRL,10,-0.11359583595167694,0.14329422623930183,Inf,-0.39444735857324287,0.167255686669889,-0.7927453808360116,0.4279261846054534
f - m,ASD,11,-0.24371277815134748,0.15369317126445772,Inf,-0.5449458584994309,0.057520302196735956,-1.5857098669139584,0.11280513987425415
f - m,CTRL,11,-0.07699926117781944,0.1430445248534041,Inf,-0.3573613780761361,0.2033628557204972,-0.5382887688761968,0.5903777038719704
f - m,ASD,12,-0.19808014805386445,0.15372677593271264,Inf,-0.49937909234143996,0.10321879623371102,-1.2885207983582874,0.19756473368554683
f - m,CTRL,12,-0.04732494474175882,0.14278145083690041,Inf,-0.3271714460424599,0.23252155655894227,-0.33145023015502356,0.7403044288042258
f - m,ASD,13,-0.07974224897580395,0.15480621731822472,Inf,-0.38315685950240513,0.22367236155079723,-0.5151101186839491,0.6064760722620542
f - m,CTRL,13,-0.0526892227530756,0.1437090712446375,Inf,-0.3343538266442657,0.22897538113811453,-0.3666381133545994,0.7138889747003319
