model,term,p_value,p_display,sig,significant_0_05,highlight,Df,Sum Sq,Mean Sq,F value
group_outcome_model,Group,0.08646881451888437,0.086 .,.,FALSE,trend,1,0.5109696075895762,0.5109696075895762,2.9635947750904452
group_outcome_model,SIAS,0.6292272781387944,0.629,,FALSE,,1,0.04029696158120465,0.04029696158120465,0.23372009415088893
group_outcome_model,Residuals,NA,NA,,FALSE,,236,40.690052636315556,0.17241547727252354,NA
