Panel,fix,Group,mean_prop,sem,n_observations,n_participants,lower,upper
Full Sample,Eyes,ASD,0.29651334245074346,0.018621426017877418,104,30,0.27789191643286604,0.3151347684686209
Full Sample,Eyes,CTRL,0.31663633204781594,0.01697028964633673,116,37,0.2996660424014792,0.33360662169415267
Full Sample,Background,ASD,0.4120591775837516,0.022260651610809982,104,30,0.3897985259729416,0.4343198291945616
Full Sample,Background,CTRL,0.3492744698540737,0.017916752991430064,116,37,0.3313577168626436,0.36719122284550376
Female,Eyes,ASD,0.2571859576644551,0.025606568369389703,56,18,0.2315793892950654,0.2827925260338448
Female,Eyes,CTRL,0.3153602314770742,0.025819170572588687,53,15,0.2895410609044855,0.3411794020496629
Female,Background,ASD,0.5038085944437073,0.032512668917352855,56,18,0.47129592552635446,0.5363212633610601
Female,Background,CTRL,0.3756010490678273,0.02727542886352827,53,15,0.348325620204299,0.4028764779313556
Male,Eyes,ASD,0.3423952913680799,0.025847876554239976,48,12,0.3165474148138399,0.36824316792231987
Male,Eyes,CTRL,0.31770987697240816,0.02265305421993707,63,22,0.2950568227524711,0.34036293119234523
Male,Background,ASD,0.30501819124713664,0.02137787718848895,48,12,0.2836403140586477,0.3263960684356256
Male,Background,CTRL,0.32712671273774124,0.023539324128101193,63,22,0.3035873886096401,0.3506660368658424
