Panel,fix,medication,contrast,estimate,std.error,lower,upper,p.value,medication_x,significant,sig
Full Sample,Eyes,Overall,CTRL - ASD,0.1690048896930425,0.11974320376146243,-0.06569178967942385,0.40370156906550886,0.15812834720179697,1,FALSE,
Full Sample,Background,Overall,CTRL - ASD,-0.29464020207742714,0.11689193501580451,-0.523748394708404,-0.0655320094464503,0.011714813599657495,1,TRUE,*
Female,Eyes,Overall,CTRL - ASD,0.4567594149242165,0.17172916453491424,0.12017025243578461,0.7933485774126484,0.007819492744235797,1,TRUE,**
Female,Background,Overall,CTRL - ASD,-0.6244434402098448,0.16370414409481243,-0.9453035626356772,-0.30358331778401243,1.3647924845987144e-4,1,TRUE,***
Male,Eyes,Overall,CTRL - ASD,-0.1187496355381315,0.16705653246161953,-0.4461804391629058,0.20868116808664278,0.47718646941380527,1,FALSE,
Male,Background,Overall,CTRL - ASD,0.035163036054990604,0.16718978471113355,-0.29252894197883117,0.3628550140888124,0.8334194178740063,1,FALSE,
Full Sample,Eyes,BOTH,CTRL - ASD,0.09511933709717629,0.23929588036527602,-0.3739005884187647,0.5641392626131173,0.6910011754063283,2,FALSE,
Full Sample,Background,BOTH,CTRL - ASD,-0.4246929276655841,0.23507627462241643,-0.8854424259255202,0.03605657059435208,0.07082192831372128,2,FALSE,
Full Sample,Eyes,NAL,CTRL - ASD,-0.007422586452736024,0.24668868537822514,-0.4909324097940573,0.47608723688858523,0.9759961685416961,3,FALSE,
Full Sample,Background,NAL,CTRL - ASD,-0.13094860606369152,0.23727973106643432,-0.5960168789539028,0.3341196668265197,0.5810344179656044,3,FALSE,
Full Sample,Eyes,OXT,CTRL - ASD,0.13774729778443834,0.23083876551975818,-0.3146966826342877,0.5901912782031644,0.5506908960834604,4,FALSE,
Full Sample,Background,OXT,CTRL - ASD,-0.17621930628409344,0.22570395742385702,-0.6185990628348532,0.2661604502666663,0.43494709281957095,4,FALSE,
Full Sample,Eyes,PLA,CTRL - ASD,0.4505755103432915,0.2420271531982376,-0.02379770992525415,0.9249487306118371,0.0626491418492204,5,FALSE,
Full Sample,Background,PLA,CTRL - ASD,-0.4466999682963396,0.23621314774473745,-0.909677737876025,0.016277801283345772,0.058612530797352215,5,FALSE,
Female,Eyes,BOTH,CTRL - ASD,0.3828738623283503,0.26930378171072245,-0.1449615498246657,0.9107092744813663,0.15510831758723898,2,FALSE,
Female,Background,BOTH,CTRL - ASD,-0.7544961657980018,0.2635085154161681,-1.2709728560136913,-0.2380194755823124,0.00419292403650624,2,TRUE,**
Female,Eyes,NAL,CTRL - ASD,0.280331938778438,0.2760487144360039,-0.26072354151612964,0.8213874190730056,0.30985983296422825,3,FALSE,
Female,Background,NAL,CTRL - ASD,-0.46075184419610926,0.26409790730200855,-0.978383742508046,0.05688005411582753,0.08105014462980266,3,FALSE,
Female,Eyes,OXT,CTRL - ASD,0.42550182301561235,0.26135632091366734,-0.08675656597517567,0.9377602120064004,0.1035137449628426,4,FALSE,
Female,Background,OXT,CTRL - ASD,-0.5060225444165111,0.25289999857212975,-1.0017065416178854,-0.010338547215136773,0.045405325394259816,4,TRUE,*
Female,Eyes,PLA,CTRL - ASD,0.7383300355744655,0.2712136478084501,0.20675128586990332,1.2699087852790276,0.0064825555847474285,5,TRUE,**
Female,Background,PLA,CTRL - ASD,-0.7765032064287573,0.26019202697617066,-1.2864795793020516,-0.2665268335554628,0.0028418460300577058,5,TRUE,**
Male,Eyes,BOTH,CTRL - ASD,-0.19263518813399771,0.2659368932129014,-0.7138714988312845,0.3286011225632891,0.46884211874628795,2,FALSE,
Male,Background,BOTH,CTRL - ASD,-0.09488968953316657,0.2617422282436802,-0.6079044568907798,0.41812507782444663,0.7169552113605584,2,FALSE,
Male,Eyes,NAL,CTRL - ASD,-0.29517711168391003,0.2724511764359719,-0.8291814174984149,0.23882719413059483,0.27862520453991674,3,FALSE,
Male,Background,NAL,CTRL - ASD,0.19885463206872633,0.26510310988502306,-0.32074746330591886,0.7184567274433715,0.4531926863901981,3,FALSE,
Male,Eyes,OXT,CTRL - ASD,-0.15000722744673567,0.2588201424690233,-0.6572947066860213,0.35728025179254996,0.5621972337953003,4,FALSE,
Male,Background,OXT,CTRL - ASD,0.1535839318483243,0.25563678428170206,-0.34746416534381175,0.6546320290404604,0.5479801046011217,4,FALSE,
Male,Eyes,PLA,CTRL - ASD,0.1628209851121175,0.2689225991038349,-0.36426730913139893,0.689909279355634,0.5448755974157382,5,FALSE,
Male,Background,PLA,CTRL - ASD,-0.11689673016392188,0.2670532407500013,-0.6403210820339245,0.4065276217060807,0.6615833360323736,5,FALSE,
