scenario,n_total,n_asd,n_ctrl,mean_asd,mean_ctrl,diff_asd_minus_ctrl,t,df,p,ci_low,ci_high
full_no_exclusion,226,108,118,1.6671683506833181,1.7916614691079673,-0.12449311842464916,-1.790064016764907,220.769182318194,0.07481399980863179,-0.2615535831795112,0.012567346330212862
exclude_worst30_accuracy,196,98,98,1.57282520131189,1.5959834693645945,-0.02315826805270449,-0.4238085487206707,193.00370722689496,0.6721773900842588,-0.130932828616219,0.08461629251081002
exclude_worst30_qc_combined_severity,196,100,96,1.6731669729948044,1.7154992800205946,-0.04233230702579016,-0.5746223173050454,188.65532463228968,0.5662313336804279,-0.18765468853015294,0.10299007447857264
exclude_all_qc_flagged,197,97,100,1.6621611357964192,1.7415497720241546,-0.0793886362277354,-1.07935745355019,192.90002633851566,0.2817761463476367,-0.22445756906939018,0.06568029661391937
