comparison,model_index,Df,AIC,BIC,logLik,deviance,Chisq,Chi Df,Pr(>Chisq)
base_vs_previous_medication_main,base_model,43,-708.0749380003749,-515.4990233854064,397.03746900018746,-794.0749380003749,NA,NA,NA
base_vs_previous_medication_main,comparison_model,46,-702.2466194594227,-496.23517591782854,397.12330972971137,-794.2466194594227,0.17168145904781795,3,0.9820259559700105
base_vs_previous_medication_by_aoi,base_model,43,-708.0749380003749,-515.4990233854064,397.03746900018746,-794.0749380003749,NA,NA,NA
base_vs_previous_medication_by_aoi,comparison_model,55,-697.1178523733329,-450.7998220518616,403.55892618666644,-807.1178523733329,13.042914372957966,12,0.36592921473551326
base_vs_previous_components_main,base_model,43,-708.0749380003749,-515.4990233854064,397.03746900018746,-794.0749380003749,NA,NA,NA
base_vs_previous_components_main,comparison_model,45,-704.1317835375723,-502.5988496381867,397.0658917687862,-794.1317835375723,0.05684553719743235,2,0.9719773584208466
base_vs_previous_components_by_aoi,base_model,43,-708.0749380003749,-515.4990233854064,397.03746900018746,-794.0749380003749,NA,NA,NA
base_vs_previous_components_by_aoi,comparison_model,51,-700.3753666394305,-471.97137488679346,401.18768331971523,-802.3753666394305,8.300428639055554,8,0.40468717247065966
