model,term,p_value,p_display,sig,significant_0_05,highlight,Chisq,Df
previous_components_main,Group:fix:Sex,8.373889841712172e-4,<0.001 ***,***,TRUE,significant,16.64161732970431,3
previous_components_by_aoi,(Intercept),1.747241757161596e-21,<0.001 ***,***,TRUE,significant,90.61282488824394,1
previous_components_by_aoi,Group,0.5912869430535329,0.591,,FALSE,,0.28833894771099416,1
previous_components_by_aoi,fix,2.333561675330488e-12,<0.001 ***,***,TRUE,significant,57.19624971039551,3
previous_components_by_aoi,medication,0.7281045395228212,0.728,,FALSE,,1.3043324986278972,3
previous_components_by_aoi,Sex,0.4540451385485336,0.454,,FALSE,,0.560534067824987,1
previous_components_by_aoi,session,0.9742771576399872,0.974,,FALSE,,0.052118919438920656,2
previous_components_by_aoi,previous_nal,0.8317612453552574,0.832,,FALSE,,0.04513213542961241,1
previous_components_by_aoi,previous_oxt,0.8980507021768455,0.898,,FALSE,,0.016415805079573863,1
previous_components_by_aoi,Group:fix,0.05112191781370644,0.051 .,.,FALSE,trend,7.76520062893047,3
previous_components_by_aoi,Group:medication,0.9695808417767344,0.970,,FALSE,,0.24749325021141957,3
previous_components_by_aoi,fix:medication,0.4431421621924063,0.443,,FALSE,,8.936652852944983,9
previous_components_by_aoi,Group:Sex,0.6542539088404283,0.654,,FALSE,,0.20057898812208946,1
previous_components_by_aoi,fix:Sex,3.2573078256991645e-10,<0.001 ***,***,TRUE,significant,47.13243741303882,3
previous_components_by_aoi,fix:previous_nal,0.5790457246241618,0.579,,FALSE,,1.9681395480973718,3
previous_components_by_aoi,fix:previous_oxt,0.08658800812950838,0.087 .,.,FALSE,trend,6.579274243979272,3
previous_components_by_aoi,Group:fix:medication,0.7130372481461104,0.713,,FALSE,,6.265918127202581,9
previous_components_by_aoi,Group:fix:Sex,6.041799963314524e-4,<0.001 ***,***,TRUE,significant,17.33093956206734,3
