contrast,medication,Sex,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,NAL/OXT,f,-0.004216947135850842,0.02452238463432725,174.10880913158192,-0.05261635595172696,0.04418246168002527,-0.17196317563455144,0.863666193590838
ASD - CTRL,NAL/PLA,f,0.08040712749628243,0.03523913084789417,154.02069673652218,0.010792719405088122,0.15002153558747672,2.2817568300237294,0.023873459179213283
ASD - CTRL,PLA/OXT,f,0.06008314854093924,0.03134514845962017,169.0595710094833,-0.0017951658169447701,0.12196146289882326,1.9168245005551747,0.05694685994787585
ASD - CTRL,PLA/PLA,f,0.07132218495374158,0.03723326177107703,155.97509638527958,-0.0022243036868474925,0.14486867359433064,1.9155502784648586,0.05725204077272246
ASD - CTRL,NAL/OXT,m,0.015336054216573528,0.018575548028479407,174.78766845075538,-0.02132518894899105,0.05199729738213811,0.8256044017145984,0.41015397055071734
ASD - CTRL,NAL/PLA,m,-0.015068755510056944,0.024093551624111396,180.2152678509403,-0.06261050986504366,0.03247299884492977,-0.6254269086246723,0.5324820927058411
ASD - CTRL,PLA/OXT,m,0.04547186125933473,0.026938144498134902,185.6679604371995,-0.00767233563218804,0.0986160581508575,1.6880101471904656,0.09308827573561355
ASD - CTRL,PLA/PLA,m,0.05965317612954299,0.03665776216363713,168.46133264105353,-0.012714597322131371,0.13202094958121735,1.6272999934708587,0.10554234665045673
