contrast,timepoint,Sex,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,1,f,0.04653837256180771,0.17594730723717875,92.72976474318247,-0.30287152884372626,0.39594827396734167,0.26450176074063764,0.7919803117805343
ASD - CTRL,2,f,0.10430159692410226,0.17617214978632245,93.18825359436555,-0.24553206407346148,0.454135257921666,0.5920436178511115,0.5552550991041834
ASD - CTRL,3,f,0.09895372758277055,0.17594730723718155,92.729764743178393,-0.2504561738227692,0.4483636289883103,0.5624054675038496,0.5751968765067765
ASD - CTRL,1,m,-0.383456876225952,0.17743162780226263,93.04519161720688,-0.7357986693306259,-0.031115083121278087,-2.1611528957694772,0.03325086891629382
ASD - CTRL,2,m,-0.1426916288430663,0.17743162780226235,93.0451916172063,-0.4950334219477397,0.2096501642616071,-0.8042062771474325,0.4233278357594198
ASD - CTRL,3,m,-0.2325088577252317,0.1780136790875924,94.21557605787005,-0.5859486474223113,0.12093093197184798,-1.306129163314605,0.19468850089392345
