contrast,progress_window,medication,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,01,BOTH,0.7598914255337232,0.2522599239411416,Inf,1,-0.827126121937402,0.40816557980129825
ASD / CTRL,02,BOTH,0.9753081176066929,0.31810843501720154,Inf,1,-0.07665467078494094,0.9388982658575773
ASD / CTRL,03,BOTH,1.0726911033785618,0.34937487629509667,Inf,1,0.2154457004961165,0.8294198426301373
ASD / CTRL,04,BOTH,1.1688763083050504,0.3791140712423257,Inf,1,0.4811079941902857,0.6304397467099188
ASD / CTRL,05,BOTH,1.2692594514654034,0.41226565819123007,Inf,1,0.7340755199634905,0.46290271238195785
ASD / CTRL,06,BOTH,1.0981231981579795,0.35845624564783535,Inf,1,0.28674941743997284,0.7743041960829262
ASD / CTRL,07,BOTH,1.0603385656681708,0.345205448573985,Inf,1,0.17996063055050865,0.8571834758045008
ASD / CTRL,08,BOTH,0.9461322269843526,0.3071229870703649,Inf,1,-0.17058354422466326,0.8645512380682612
ASD / CTRL,09,BOTH,0.8431359548282061,0.2749913916617572,Inf,1,-0.5231502245331853,0.6008697167859964
ASD / CTRL,10,BOTH,0.9076428136483948,0.2960612028751529,Inf,1,-0.2970822938067821,0.7664036819563794
ASD / CTRL,11,BOTH,0.9069444018834603,0.29504432483889576,Inf,1,-0.3002430402745672,0.7639917771833936
ASD / CTRL,12,BOTH,0.98777354392258,0.3219301949224731,Inf,1,-0.037745469870640105,0.9698906220943084
ASD / CTRL,13,BOTH,1.2325610210548803,0.4007665753945855,Inf,1,0.6430707978387796,0.5201781620121739
ASD / CTRL,14,BOTH,1.2899614196181939,0.4179711372788379,Inf,1,0.7857960237190187,0.4319869964772617
ASD / CTRL,15,BOTH,1.0878048205388795,0.3551399791030411,Inf,1,0.2577900300441434,0.7965689593717398
ASD / CTRL,16,BOTH,1.0519175880458393,0.3439950540715598,Inf,1,0.15477713759270606,0.8769970155466091
ASD / CTRL,17,BOTH,1.0421769554396003,0.3415192939562624,Inf,1,0.12606653992309275,0.8996792533884885
ASD / CTRL,18,BOTH,0.9917669585302088,0.3258426519676145,Inf,1,-0.025162625394732057,0.9799252481246387
ASD / CTRL,19,BOTH,0.9272621516738818,0.3016010658676566,Inf,1,-0.23218044983831868,0.81639786166221
ASD / CTRL,20,BOTH,0.9286695560626343,0.30308708455009997,Inf,1,-0.2267456728710171,0.8206215101139331
ASD / CTRL,21,BOTH,0.7178061626171383,0.23371540697965856,Inf,1,-1.018301439638437,0.3085347244632593
ASD / CTRL,22,BOTH,0.6964188180590658,0.22809552042492096,Inf,1,-1.1046562776924225,0.26930855543182247
ASD / CTRL,23,BOTH,0.7377735280589413,0.24301194529285366,Inf,1,-0.9232899456114502,0.3558561261077169
ASD / CTRL,24,BOTH,0.7440803991119448,0.24388815723610063,Inf,1,-0.9018673634927309,0.3671273301059459
ASD / CTRL,25,BOTH,0.9393218667551365,0.3081467523817658,Inf,1,-0.19081430470827732,0.8486710810669041
ASD / CTRL,26,BOTH,0.921340475495388,0.3010470236629846,Inf,1,-0.2507295994006608,0.8020231744858641
ASD / CTRL,27,BOTH,0.9717493712061914,0.3177164583603513,Inf,1,-0.08764974950198091,0.9301550599179845
ASD / CTRL,28,BOTH,0.9468441593762869,0.3108049846168168,Inf,1,-0.16639806895929535,0.8678436935179563
ASD / CTRL,29,BOTH,0.9157890533150957,0.3002681786792111,Inf,1,-0.2682976931516739,0.7884701817499725
ASD / CTRL,30,BOTH,1.015717393357011,0.3341912668604538,Inf,1,0.04739881338829183,0.9621953747380442
ASD / CTRL,31,BOTH,1.061441977365491,0.35051339739036963,Inf,1,0.18056948251220045,0.8567055115056916
ASD / CTRL,32,BOTH,1.0264288812850435,0.3390056026756003,Inf,1,0.07898125364433375,0.9370475339016423
ASD / CTRL,33,BOTH,0.8684540472218316,0.28601621679763317,Inf,1,-0.4282529354089835,0.6684669803284683
ASD / CTRL,34,BOTH,0.8098345235457277,0.26602659939678736,Inf,1,-0.6420960382693548,0.5208108280804383
ASD / CTRL,35,BOTH,0.8496774016600613,0.27849481350011945,Inf,1,-0.4969974022547221,0.61919088321763
ASD / CTRL,36,BOTH,0.7643563617965538,0.2525234743993366,Inf,1,-0.813384680178615,0.41599754000875006
