contrast,Sex,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
ASD - CTRL,f,-0.48041244340099437,0.492327841466663,57.83852320996398,-1.4659722753444058,0.5051473885424169,-0.9757978382246834,0.3332283746482435
ASD - CTRL,m,-0.43851889025485546,0.5020406792276758,60.17987138931407,-1.4426880357779375,0.5656502552682264,-0.8734728248106501,0.38587761350691596
