model_name,model,Group,AUCi_z.trend,std.error,df,statistic,p.value,p_display,sig,significant_0_05
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,ASD,0.21627168723100104,0.08588766982600272,Inf,2.518076083204253,0.01179978290969958,0.012,*,TRUE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,CTRL,-0.07405765027535066,0.08027617768954659,Inf,-0.9225358307635804,0.35624914953393494,0.356,,FALSE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,ASD,0.21627168723100104,0.08588766982600272,Inf,2.518076083204253,0.01179978290969958,0.012,*,TRUE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,CTRL,-0.07405765027535066,0.08027617768954659,Inf,-0.9225358307635804,0.35624914953393494,0.356,,FALSE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,ASD,0.166126604573854,0.08620731082652072,Inf,1.9270593524041002,0.05397223363752451,0.054,.,FALSE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,CTRL,-0.06977469760435404,0.08048094558268452,Inf,-0.8669716427805747,0.3859575472204831,0.386,,FALSE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,ASD,0.17048444056568626,0.0852855715780662,Inf,1.9989833850105962,0.04561015160477418,0.046,*,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,CTRL,-0.07014653972567558,0.08044308595243295,Inf,-0.8720020980691138,0.38320723297618137,0.383,,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,ASD,0.22771713891919323,0.10044756967466759,Inf,2.2670248733416836,0.02338870629224189,0.023,*,TRUE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,CTRL,-0.1797879551555617,0.08908711831293852,Inf,-2.0181139379098125,0.043579396415562036,0.044,*,TRUE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,ASD,0.22120760029588918,0.10261333374097382,Inf,2.1557393394340165,0.0311040245144131,0.031,*,TRUE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,CTRL,-0.17334396924449263,0.08857476713718264,Inf,-1.9570355626904594,0.05034328737281406,0.050,.,FALSE
group_auci__none,group_auci__none,ASD,0.2980801943778784,0.08527488092532198,Inf,3.495521672307195,4.7313602816440216e-4,<0.001,***,TRUE
group_auci__none,group_auci__none,CTRL,-0.08457423228678818,0.08779462553695931,Inf,-0.9633190160505277,0.3353874531522851,0.335,,FALSE
group_auci_med_add__none,group_auci_med_add__none,ASD,0.32116558403227907,0.08773720218918671,Inf,3.660540523502829,2.516837430658155e-4,<0.001,***,TRUE
group_auci_med_add__none,group_auci_med_add__none,CTRL,-0.09141090526988627,0.08809934491001199,Inf,-1.0375889328491241,0.29946147251931526,0.299,,FALSE
group_auci_session_add__none,group_auci_session_add__none,ASD,0.29888244506955175,0.08553042057166892,Inf,3.494457797259488,4.75025704908864e-4,<0.001,***,TRUE
group_auci_session_add__none,group_auci_session_add__none,CTRL,-0.08312629980600889,0.08771845904258824,Inf,-0.9476488838643436,0.3433082313580107,0.343,,FALSE
group_auci_med_interaction__none,group_auci_med_interaction__none,ASD,0.31525048095777425,0.0896679729098772,Inf,3.5157534036664773,4.3850806928265253e-4,<0.001,***,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,CTRL,-0.09506490014264046,0.08827182951569443,Inf,-1.0769562686557692,0.2814998031359626,0.281,,FALSE
group_auci_med_session_add__none,group_auci_med_session_add__none,ASD,0.32527596715731066,0.08789508522470718,Inf,3.7007298681801157,2.1498023630007478e-4,<0.001,***,TRUE
group_auci_med_session_add__none,group_auci_med_session_add__none,CTRL,-0.09156943391907685,0.0878365532544085,Inf,-1.0424980321558894,0.2971808373412551,0.297,,FALSE
group_auci_session_med__none,group_auci_session_med__none,ASD,0.32527596715731066,0.08789508522470718,Inf,3.7007298681801157,2.1498023630007478e-4,<0.001,***,TRUE
group_auci_session_med__none,group_auci_session_med__none,CTRL,-0.09156943391907685,0.0878365532544085,Inf,-1.0424980321558894,0.2971808373412551,0.297,,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,ASD,0.35688378188709396,0.09720637838357858,Inf,3.6714029245984503,2.412227004960401e-4,<0.001,***,TRUE
group_auci_by_medication__none,group_auci_by_medication__none,CTRL,-0.218029294958739,0.1001561243547323,Inf,-2.1768942874279387,0.029488455759274813,0.029,*,TRUE
