model_name,model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
group_auci__id_intercept,group_auci__id_intercept,(Intercept),52.7566997160041,1,3.7753331916723785e-13,<0.001,***,TRUE
group_auci__id_intercept,group_auci__id_intercept,Group,1.3051977138282198,1,0.253265979605532,0.253,,FALSE
group_auci__id_intercept,group_auci__id_intercept,AUCi_z,4.2604581716100345,1,0.03900939878677799,0.039,*,TRUE
group_auci__id_intercept,group_auci__id_intercept,Group:AUCi_z,4.464525313571367,1,0.03460570373191239,0.035,*,TRUE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,(Intercept),38.814417688022836,1,4.660726636291298e-10,<0.001,***,TRUE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,Group,1.362347092469044,1,0.2431311238485613,0.243,,FALSE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,AUCi_z,4.8366062672164905,1,0.027861674402413193,0.028,*,TRUE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,session,3.7251203546813967,3,0.2927168504722527,0.293,,FALSE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,Group:AUCi_z,5.05007464339227,1,0.024624877484631078,0.025,*,TRUE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,(Intercept),38.48569260818125,1,5.515655577016248e-10,<0.001,***,TRUE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,Group,1.4134844490262095,1,0.2344788150756162,0.234,,FALSE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,AUCi_z,5.617167189718622,1,0.017785373490056062,0.018,*,TRUE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,medication,3.1268667902859644,3,0.3724754027856728,0.372,,FALSE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,Group:AUCi_z,5.463788950892764,1,0.019414504092706366,0.019,*,TRUE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,(Intercept),27.469772932454667,1,1.5956905596734625e-7,<0.001,***,TRUE
