model_name,model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,Group,1.506185436477144,1,0.21972207886602713,0.220,,FALSE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,AUCi_z,6.617232283998969,1,0.010099666546645705,0.010,*,TRUE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,medication,4.278975795198699,3,0.23287289769006467,0.233,,FALSE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,session,4.8784767079476365,3,0.18091503997350383,0.181,,FALSE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,Group:AUCi_z,6.411005538422367,1,0.011341517043510777,0.011,*,TRUE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,(Intercept),27.469772932454667,1,1.5956905596734625e-7,<0.001,***,TRUE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,Group,1.506185436477144,1,0.21972207886602713,0.220,,FALSE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,AUCi_z,6.617232283998969,1,0.010099666546645705,0.010,*,TRUE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,medication,4.278975795198699,3,0.23287289769006467,0.233,,FALSE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,session,4.8784767079476365,3,0.18091503997350383,0.181,,FALSE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,Group:AUCi_z,6.411005538422367,1,0.011341517043510777,0.011,*,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,(Intercept),39.714372363812295,1,2.939543120267468e-10,<0.001,***,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,Group,3.9403870942669235,1,0.047139929090127146,0.047,*,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,AUCi_z,4.001074521488142,1,0.04547126640743976,0.045,*,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,medication,0.9101117095775131,3,0.8229869604619362,0.823,,FALSE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,Group:AUCi_z,4.206529002983986,1,0.0402686560398474,0.040,*,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,Group:medication,3.544076933830508,3,0.3150903242725167,0.315,,FALSE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,(Intercept),50.710879130891094,1,1.0702467801516748e-12,<0.001,***,TRUE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,Group,1.3012486799462728,1,0.25398526378272535,0.254,,FALSE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,AUCi_z,4.0799267784230056,1,0.04339553930711649,0.043,*,TRUE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,Group:AUCi_z,4.365405503001383,1,0.03667575327541914,0.037,*,TRUE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,(Intercept),52.75669692134214,1,3.77533856358653e-13,<0.001,***,TRUE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,Group,1.3051976877521758,1,0.2532659843467895,0.253,,FALSE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,AUCi_z,4.260457805600549,1,0.03900940719158151,0.039,*,TRUE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,Group:AUCi_z,4.464524826169426,1,0.034605713604940844,0.035,*,TRUE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,(Intercept),41.19005322206968,1,1.3812364906176262e-10,<0.001,***,TRUE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,Group,3.6747342473875095,1,0.05524305973531581,0.055,.,FALSE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,AUCi_z,1.4632298377397932,1,0.22641691818536422,0.226,,FALSE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,medication,1.0063749517380898,3,0.7997094104178661,0.800,,FALSE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,Group:AUCi_z,6.638919325743172,1,0.009977444039244778,0.010,**,TRUE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,Group:medication,2.6945449856966226,3,0.4411551130307288,0.441,,FALSE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,AUCi_z:medication,1.104754110084607,3,0.775926548248433,0.776,,FALSE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,Group:AUCi_z:medication,4.1687749709955435,3,0.24380675534732557,0.244,,FALSE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,(Intercept),38.537391082636915,1,5.371467275010693e-10,<0.001,***,TRUE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,Group,1.4002670499249619,1,0.23667886290284065,0.237,,FALSE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,AUCi_z,4.789244159458015,1,0.028637990834296873,0.029,*,TRUE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,session,3.8561964203664028,3,0.2774168628482074,0.277,,FALSE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,Group:AUCi_z,5.019112099241579,1,0.02506902068546534,0.025,*,TRUE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,(Intercept),38.106097498532286,1,6.700042580101997e-10,<0.001,***,TRUE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,Group,1.4043096725438635,1,0.236003321694737,0.236,,FALSE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,AUCi_z,4.601804411059195,1,0.03193832432060527,0.032,*,TRUE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,session,3.8212556835163984,3,0.28142340009930106,0.281,,FALSE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,Group:AUCi_z,4.907300354942438,1,0.026743408380154918,0.027,*,TRUE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,(Intercept),38.25069235496226,1,6.221499892803161e-10,<0.001,***,TRUE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,Group,1.4140693927654204,1,0.2343820238548706,0.234,,FALSE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,AUCi_z,5.612854800519559,1,0.017829193118072996,0.018,*,TRUE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,medication,3.1247500431823823,3,0.37278822641470216,0.373,,FALSE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,Group:AUCi_z,5.460417773115073,1,0.01945199545011427,0.019,*,TRUE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,(Intercept),37.15917083879051,1,1.0886953388436413e-9,<0.001,***,TRUE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,Group,1.4105700597897342,1,0.23496178313341243,0.235,,FALSE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,AUCi_z,5.401109646478189,1,0.020123953024668628,0.020,*,TRUE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,medication,3.1250431774102245,3,0.3727448921185488,0.373,,FALSE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,Group:AUCi_z,5.312677655410288,1,0.021170793641479394,0.021,*,TRUE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,(Intercept),27.546272552365927,1,1.5338067677097757e-7,<0.001,***,TRUE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,Group,1.5553647077093513,1,0.21234520890941216,0.212,,FALSE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,AUCi_z,6.613362606014001,1,0.01012163587141647,0.010,*,TRUE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,medication,4.366397321616561,3,0.22452143412693165,0.225,,FALSE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,session,5.1265024244875725,3,0.16276494328577099,0.163,,FALSE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,Group:AUCi_z,6.3884973434534,1,0.01148622219381101,0.011,*,TRUE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,(Intercept),27.546272552365927,1,1.5338067677097757e-7,<0.001,***,TRUE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,Group,1.5553647077093513,1,0.21234520890941216,0.212,,FALSE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,AUCi_z,6.613362606014001,1,0.01012163587141647,0.010,*,TRUE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,medication,4.366397321616561,3,0.22452143412693165,0.225,,FALSE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,session,5.1265024244875725,3,0.16276494328577099,0.163,,FALSE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,Group:AUCi_z,6.3884973434534,1,0.01148622219381101,0.011,*,TRUE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,(Intercept),26.582921752303857,1,2.5246563718425745e-7,<0.001,***,TRUE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,Group,1.497329755454938,1,0.22108268020142252,0.221,,FALSE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,AUCi_z,6.340707160805271,1,0.01179978290969959,0.012,*,TRUE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,medication,4.2205585024628745,3,0.23861163263525215,0.239,,FALSE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,session,4.892233684990513,3,0.17986055542884655,0.180,,FALSE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,Group:AUCi_z,6.199968237138544,1,0.012775260541326496,0.013,*,TRUE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,(Intercept),26.582921752303857,1,2.5246563718425745e-7,<0.001,***,TRUE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,Group,1.497329755454938,1,0.22108268020142252,0.221,,FALSE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,AUCi_z,6.340707160805271,1,0.01179978290969959,0.012,*,TRUE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,medication,4.2205585024628745,3,0.23861163263525215,0.239,,FALSE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,session,4.892233684990513,3,0.17986055542884655,0.180,,FALSE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,Group:AUCi_z,6.199968237138544,1,0.012775260541326496,0.013,*,TRUE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,(Intercept),38.339234868352136,1,5.945516606989908e-10,<0.001,***,TRUE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,Group,3.9768424373915447,1,0.04612996120975219,0.046,*,TRUE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,AUCi_z,3.7135577476881108,1,0.05397223363752446,0.054,.,FALSE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,medication,0.9546721925647972,3,0.8122180379431181,0.812,,FALSE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,Group:AUCi_z,3.957196768081423,1,0.046671363787927606,0.047,*,TRUE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,Group:medication,3.609174516713579,3,0.3068761441729316,0.307,,FALSE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,(Intercept),39.77059710954062,1,2.8561261914090417e-10,<0.001,***,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,Group,3.9593922583632755,1,0.046610528602336325,0.047,*,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,AUCi_z,3.995934573548421,1,0.045610151604774093,0.046,*,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,medication,0.8965715533729712,3,0.8262550924439397,0.826,,FALSE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,Group:AUCi_z,4.200841592222092,1,0.04040392281614276,0.040,*,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,Group:medication,3.576421218568976,3,0.31098496428402034,0.311,,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,(Intercept),41.71313036052948,1,1.0569675871335477e-10,<0.001,***,TRUE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,Group,3.7825891287936098,1,0.05178846592074928,0.052,.,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,AUCi_z,1.5697029630892225,1,0.21025015590967894,0.210,,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,medication,0.8482064919015159,3,0.8379052674401228,0.838,,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,Group:AUCi_z,6.979664977622568,1,0.008244104041294378,0.008,**,TRUE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,Group:medication,2.7665994241720067,3,0.42902780107952965,0.429,,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,AUCi_z:medication,1.0982138595421163,3,0.7775052824560114,0.778,,FALSE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,Group:AUCi_z:medication,4.382865070610588,3,0.22297946195941928,0.223,,FALSE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,(Intercept),38.941708444826574,1,4.3665096720671686e-10,<0.001,***,TRUE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,Group,3.684586252480646,1,0.054917595301167264,0.055,.,FALSE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,AUCi_z,1.3463934676168186,1,0.2459096065612929,0.246,,FALSE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,medication,1.0148725409254153,3,0.797653303242174,0.798,,FALSE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,Group:AUCi_z,6.157864749361427,1,0.013082904614858098,0.013,*,TRUE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,Group:medication,2.7235108029950204,3,0.43624665440498395,0.436,,FALSE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,AUCi_z:medication,1.0854488128242477,3,0.780587908604173,0.781,,FALSE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,Group:AUCi_z:medication,4.069961228135932,3,0.2540080060507631,0.254,,FALSE
group_auci__none,group_auci__none,(Intercept),128.71592283238294,1,7.825381370717548e-30,<0.001,***,TRUE
group_auci__none,group_auci__none,Group,3.884029376865298,1,0.048747432066606464,0.049,*,TRUE
group_auci__none,group_auci__none,AUCi_z,12.218671761569286,1,4.731360281644025e-4,<0.001,***,TRUE
group_auci__none,group_auci__none,Group:AUCi_z,9.755624487808648,1,0.0017877490258061729,0.002,**,TRUE
group_auci_med_add__none,group_auci_med_add__none,(Intercept),50.412252179320305,1,1.246137980708279e-12,<0.001,***,TRUE
group_auci_med_add__none,group_auci_med_add__none,Group,4.159813508887288,1,0.04139396137752126,0.041,*,TRUE
group_auci_med_add__none,group_auci_med_add__none,AUCi_z,13.399556924206365,1,2.516837430658158e-4,<0.001,***,TRUE
group_auci_med_add__none,group_auci_med_add__none,medication,1.6276422851637973,3,0.6531384850942309,0.653,,FALSE
group_auci_med_add__none,group_auci_med_add__none,Group:AUCi_z,10.844771940598587,1,9.907508100391526e-4,<0.001,***,TRUE
group_auci_session_add__none,group_auci_session_add__none,(Intercept),62.014727676256946,1,3.408981634554877e-15,<0.001,***,TRUE
group_auci_session_add__none,group_auci_session_add__none,Group,3.8903417867650236,1,0.048564539394491506,0.049,*,TRUE
group_auci_session_add__none,group_auci_session_add__none,AUCi_z,12.211235296827633,1,4.7502570490886377e-4,<0.001,***,TRUE
group_auci_session_add__none,group_auci_session_add__none,session,0.9150208232819913,3,0.8218015087866444,0.822,,FALSE
group_auci_session_add__none,group_auci_session_add__none,Group:AUCi_z,9.782278919538683,1,0.0017620179125684198,0.002,**,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,(Intercept),37.92973615185729,1,7.333885963806241e-10,<0.001,***,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,Group,4.16109600035523,1,0.04136263119752817,0.041,*,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,AUCi_z,12.36052199539242,1,4.385080692826522e-4,<0.001,***,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,medication,0.7046281292269122,3,0.8721148301790203,0.872,,FALSE
group_auci_med_interaction__none,group_auci_med_interaction__none,Group:AUCi_z,10.604064844876664,1,0.0011283931387502531,0.001,**,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,Group:medication,1.6471494535642575,3,0.6487468714522934,0.649,,FALSE
group_auci_med_session_add__none,group_auci_med_session_add__none,(Intercept),29.055556595822186,1,7.033208118960953e-8,<0.001,***,TRUE
group_auci_med_session_add__none,group_auci_med_session_add__none,Group,4.24921696759409,1,0.03926843238549759,0.039,*,TRUE
group_auci_med_session_add__none,group_auci_med_session_add__none,AUCi_z,13.695401557240421,1,2.149802363000742e-4,<0.001,***,TRUE
group_auci_med_session_add__none,group_auci_med_session_add__none,medication,2.2036718511871762,3,0.53122549320479,0.531,,FALSE
group_auci_med_session_add__none,group_auci_med_session_add__none,session,1.4751018988221398,3,0.6880286053127022,0.688,,FALSE
group_auci_med_session_add__none,group_auci_med_session_add__none,Group:AUCi_z,11.164196481334674,1,8.339107877275645e-4,<0.001,***,TRUE
group_auci_session_med__none,group_auci_session_med__none,(Intercept),29.055556595822186,1,7.033208118960953e-8,<0.001,***,TRUE
group_auci_session_med__none,group_auci_session_med__none,Group,4.24921696759409,1,0.03926843238549759,0.039,*,TRUE
group_auci_session_med__none,group_auci_session_med__none,AUCi_z,13.695401557240421,1,2.149802363000742e-4,<0.001,***,TRUE
group_auci_session_med__none,group_auci_session_med__none,medication,2.2036718511871762,3,0.53122549320479,0.531,,FALSE
group_auci_session_med__none,group_auci_session_med__none,session,1.4751018988221398,3,0.6880286053127022,0.688,,FALSE
group_auci_session_med__none,group_auci_session_med__none,Group:AUCi_z,11.164196481334674,1,8.339107877275645e-4,<0.001,***,TRUE
group_auci_by_medication__none,group_auci_by_medication__none,(Intercept),39.18052575211391,1,3.8637488516737884e-10,<0.001,***,TRUE
group_auci_by_medication__none,group_auci_by_medication__none,Group,3.831241589255388,1,0.050305655437829486,0.050,.,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,AUCi_z,3.1849565451751594,1,0.07431897332419955,0.074,.,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,medication,0.5696692031995391,3,0.9033394289654001,0.903,,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,Group:AUCi_z,7.2859427671912,1,0.0069496250005577735,0.007,**,TRUE
group_auci_by_medication__none,group_auci_by_medication__none,Group:medication,1.424357081019555,3,0.6998353596099091,0.700,,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,AUCi_z:medication,1.1013696225892924,3,0.7767434615912688,0.777,,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,Group:AUCi_z:medication,5.361501041926158,3,0.14716109521659693,0.147,,FALSE
