model,predictor,Group,AUCi_z.trend,std.error,df,statistic,p.value,p_display,sig
auci_raw_full,AUCi_z,ASD,0.2173714678278238,0.08450148634263034,Inf,2.572398158139398,0.01009966654664571,0.010,*
auci_raw_full,AUCi_z,CTRL,-0.07398809642192011,0.0794871494477254,Inf,-0.930818339014387,0.3519475416250968,0.352,
