permutation,interaction_chisq,interaction_p
1,0.006161325062368342,0.937435016535564
2,0.012098471778552621,0.9124148841347745
3,1.143297997996227,0.28495652103370434
4,4.557171310004876,0.032781173280408755
5,0.42408785238481284,0.5149043012549012
6,0.12821297023544567,0.7202921357055235
7,0.2176388520753541,0.640844913882271
8,2.5481636299859196,0.11042253328651537
9,0.042202782275161964,0.8372337165943737
10,0.34178115340648285,0.558802906354358
11,1.1064959832251273,0.2928449143218325
12,3.1670036333059013,0.07514018208803479
13,1.2263154377505903,0.2681247961945205
14,0.17473586866805432,0.6759367374904011
15,1.2503103914879934,0.2634932024752228
16,0.6345077667495225,0.42570664048237966
17,0.44054938232110974,0.506857411053342
18,0.6026095447163662,0.43758409516315544
19,1.0890832240680541,0.29667442604968824
20,0.038711754157887725,0.8440208104714723
21,1.1935028935631986,0.2746241182217016
22,0.10659170572406516,0.7440583046822684
23,0.028016213112733192,0.8670707113440355
24,0.04746134314356391,0.8275411203147142
25,2.19351379856627,0.13859282775895107
26,0.5076395919881572,0.4761624477643143
27,3.584011033557855,0.0583381312647901
28,0.0054464469404926445,0.9411694896106247
29,6.231843796480924,0.012547302324407194
30,0.11807597412570531,0.7311306921618803
31,0.007656684214968088,0.9302721132911024
32,0.6201800652871431,0.43098038045600884
33,0.12282512759617893,0.7259903826737316
34,1.3683687160830904,0.2420923586671493
35,2.542308218910612,0.11083265505715184
36,0.046427924321952946,0.8293998076744714
37,0.014013140226725599,0.9057688616312788
38,0.822133610610877,0.3645570859168923
39,0.36266680092513337,0.5470288800203204
40,0.8320315787757742,0.3616857339378727
41,0.6267908227108867,0.42853491044434394
42,0.4087238201348852,0.522617955520093
43,0.03876107078937247,0.8439227639274828
44,0.0750580770646129,0.7841097575300927
45,0.7349028149565113,0.3912985968136562
46,2.5682751890095994,0.1090265483838878
47,0.2788699771554025,0.5974428319412075
48,0.7239774383369701,0.39484232833692856
49,0.8649427965150384,0.35235917166296066
50,0.6472029692991387,0.4211144695778012
51,0.46262345682669975,0.4964004427449104
52,0.3829704197988646,0.5360177896157567
53,0.4350114710534743,0.5095400858008768
54,0.42124949431758874,0.5163142284981287
55,3.397067421576362,0.06531243878477384
56,1.9863082586111436,0.15872741922547395
57,1.4384573611608946,0.23038913612666687
58,0.09892856991257933,0.7531192001539861
59,0.4224608053100738,0.5157116973334742
60,4.222039098281675,0.039902181115217275
61,1.5748238536703638,0.20950785385804394
62,1.1058090303581296,0.29299479013367535
63,0.8220299751524714,0.36458731661183924
64,0.5056414802030114,0.47703173756832445
65,4.161395344600937,0.041355322057441274
66,0.023236486253668094,0.8788437060893505
67,0.0010603239412264299,0.974023382359642
68,0.06537671934338676,0.7981912091587742
69,0.8642450012780266,0.35255347838251494
70,2.847061485586888,0.09154111388942611
71,0.7228491111949026,0.3952109363077157
72,0.07492951011611443,0.7842901598370863
73,0.22046203898137898,0.6386880931658575
74,2.0696601650158972,0.1502549987613361
75,2.845105451449698,0.09165258017842305
76,0.0751537905572486,0.7839755622992423
77,0.2499776892329111,0.6170907875851226
78,3.4495878542570253,0.06326754412830314
79,0.8286073850544395,0.36267552745610104
80,0.09107708828298576,0.7628123007926402
81,1.5795480677146043,0.2088258026981228
82,1.5324375806118065,0.21574697570394272
83,0.009535947049968505,0.9222084937356947
84,1.518881308209102,0.21778886318159582
85,1.2965370278826756,0.25484674546666125
86,1.3868568028123285,0.23893662834248355
87,0.45391164932244976,0.5004832040877613
88,0.03748693603049668,0.8464770128011594
89,0.3348339818157962,0.5628264332875591
90,0.5218735170265737,0.47004358535317897
91,0.20007623717438736,0.6546593166081935
92,0.37335182327277716,0.5411828821154399
93,0.007716889355200062,0.9299992136949378
94,5.017735476886539,0.025088959730329444
95,0.6036754609147046,0.4371790975206713
96,3.066312444071128,0.07993059260068441
97,0.20089200346009026,0.6540018078940799
98,8.277976230343706,0.004012883060551618
99,2.9039487438307257,0.08836284871540175
100,0.026060119909645595,0.8717535812540228
101,0.44587731973727673,0.5042992794895043
102,0.6407942438778471,0.4234233362406226
103,0.7784361970003747,0.3776198333924173
104,3.11091895928247,0.07776907036467211
105,0.14925008346187366,0.699253037846735
106,3.274744635939418,0.07035387477378421
107,0.4375633922191895,0.5083008527563849
108,0.34862009297996066,0.5548953032281666
109,2.069032196960118,0.1503168827408891
110,1.8971503257750733,0.16839763536570845
111,0.053365819238837375,0.8173066984105778
112,1.3312719170077212,0.24857906844831845
113,0.6272593113486988,0.4283624021722763
114,2.0718486753404393,0.15003955406083566
115,0.006020558335030805,0.938152401889519
