contrast,medication,Sex,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
ASD / CTRL,BOTH,f,0.7579786041051771,0.2777194405882759,Inf,0.3696418229388558,1.5542926385152818,1,-0.7562882961970513,0.4494763636965016
ASD / CTRL,NAL,f,0.6161178092131497,0.22614226232465232,Inf,0.3000788990032345,1.2650044907873363,1,-1.3195073681252565,0.18699954848512546
ASD / CTRL,OXT,f,0.6551979595259132,0.24015659047887175,Inf,0.319427787488115,1.343916788024876,1,-1.1535365281694545,0.24869023345815222
ASD / CTRL,PLA,f,0.43966266323151537,0.16121410064288758,Inf,0.2142908976072818,0.9020600482717855,1,-2.2410676359277932,0.025021694206725127
