term,Chisq,Df,Pr(>Chisq)
(Intercept),33.9175027105236,1,5.749909993899329e-9
Group,0.5719719869646389,1,0.44947636369650146
progress_window,27.05989175103853,36,0.8589745450422401
medication,34.50406042708535,3,1.5505790144364978e-7
Sex,1.2547068142202271,1,0.262655401698335
session,57.690281674318555,3,1.830405444591126e-12
Group:progress_window,22.376464337592335,36,0.9631085773924732
Group:medication,117.89878374659175,3,2.18744420118481e-25
progress_window:medication,63.72794006962573,108,0.9997812542630884
Group:Sex,0.6868239597314275,1,0.4072467751746751
Group:progress_window:medication,56.21717592452596,108,0.99999067354184
