contrast,medication,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
ASD / CTRL,BOTH,0.9389309501969219,0.24435691981281057,Inf,0.5637782620327568,1.563719973982381,1,-0.2421260397144564,0.808682501629262
ASD / CTRL,NAL,0.7632037064168594,0.19907176502161816,Inf,0.45773657325930317,1.2725220826050594,1,-1.0360121556602078,0.3001964716084034
ASD / CTRL,OXT,0.8116134668880269,0.2110552478609128,Inf,0.48752776407022236,1.3511362186526108,1,-0.8026758666609163,0.42216210530856874
ASD / CTRL,PLA,0.5446233969116021,0.1417795366367614,Inf,0.32696897680490944,0.9071644880869287,1,-2.334231463589674,0.019583605238874136
