term,Chisq,Df,Pr(>Chisq)
(Intercept),1.6572957967734034,1,0.19796883581306668
Group,5.008934136178395,1,0.02521682843194984
progress_window,66.96242474413911,36,0.0013053514320596523
Sex,10.286921674544782,1,0.001339764153390091
session,41.36199313687341,3,5.47950357207954e-9
Group:progress_window,18.53306856826014,36,0.9929446560944126
Group:Sex,3.625488439002773,1,0.056900867334654284
