term,Chisq,Df,Pr(>Chisq)
(Intercept),35.74927821067298,1,2.2441509774260168e-9
Group,1.7067741975303328,1,0.19140443734229826
progress_window,64.73251313048799,36,0.0023056741811955162
Sex,1.2206391382368398,1,0.2692352573515116
session,30.59062760622437,3,1.0366264723343165e-6
Group:progress_window,18.93062192431035,36,0.991372758282191
Group:Sex,0.6023638003333712,1,0.4376775478147254
