contrast,progress_window,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
ASD / CTRL,01,1.501751754805046,0.39663152598844986,Inf,0.894921856630662,2.520061742095533,1,1.5396171884737195,0.1236536931838652
ASD / CTRL,02,1.3594463635806164,0.35753271950306137,Inf,0.8118898643702053,2.276287088380091,1,1.1676006430792887,0.24296789068706146
ASD / CTRL,03,1.4834045174081854,0.389969036214878,Inf,0.8861128749360401,2.4833054845589997,1,1.5000304636955009,0.1336065115488175
ASD / CTRL,04,1.3772416296687713,0.3607745367653516,Inf,0.8242028885911656,2.301368428512717,1,1.22190217604183,0.22174462247368604
ASD / CTRL,05,1.3586910567697263,0.356011169585167,Inf,0.81298876004343,2.2706850063307393,1,1.1698183486767468,0.24207407802296976
ASD / CTRL,06,1.433498530737172,0.375487682628684,Inf,0.8578972097000247,2.395296329666535,1,1.374821654880179,0.1691867428444456
ASD / CTRL,07,1.3980353037067248,0.3657500091194802,Inf,0.837199997378883,2.3345708510864043,1,1.2807566282119722,0.20027916249703703
ASD / CTRL,08,1.4691916322950687,0.3849332799607822,Inf,0.8791453900226185,2.4552526543423197,1,1.4683483593252196,0.1420096212081144
ASD / CTRL,09,1.4429089846737868,0.376704700298814,Inf,0.8649940590568528,2.406937153212861,1,1.4044389287790504,0.1601881854979364
ASD / CTRL,10,1.4384261439430954,0.37559345904145935,Inf,0.8622372424829913,2.3996525197875775,1,1.3923011158454097,0.16383123376921196
ASD / CTRL,11,1.4570376580647213,0.380722846786602,Inf,0.8730768079926787,2.4315830149007116,1,1.440514558173642,0.14972187423335134
ASD / CTRL,12,1.4371618642430122,0.3752239063310795,Inf,0.861525721715557,2.3974144613135278,1,1.3890795097950104,0.1648085737400816
ASD / CTRL,13,1.429453633343753,0.3733535215555755,Inf,0.8567379420838082,2.385020657436662,1,1.367960236518046,0.17132452302252174
ASD / CTRL,14,1.3420608954716515,0.3500356825518522,Inf,0.8049376505403691,2.2375987083534254,1,1.1280076384879902,0.2593166932405845
ASD / CTRL,15,1.3869135638136891,0.3627235865469488,Inf,0.8306769325621595,2.3156165268215756,1,1.2506295243947758,0.21106967369530125
ASD / CTRL,16,1.5061364533541766,0.39404606300183453,Inf,0.9019177969964477,2.515137215028514,1,1.5653874663237306,0.11749208546312123
ASD / CTRL,17,1.3283103976881925,0.3475984964998878,Inf,0.7953406118505038,2.218431306432785,1,1.0849230630383107,0.27795573232310294
ASD / CTRL,18,1.4344016953689045,0.3759419376591332,Inf,0.8581824252583696,2.3975184798939937,1,1.376428752143767,0.1686889314486604
ASD / CTRL,19,1.1819389373531495,0.30952771747235525,Inf,0.7074264029444274,1.9747349629827617,1,0.6382901364203472,0.5232848315507587
ASD / CTRL,20,1.3294767847831728,0.3478663069124764,Inf,0.796082908952879,2.2202568368190194,1,1.088394200291739,0.2764211204061311
ASD / CTRL,21,1.411388951547801,0.3681860161022348,Inf,0.8464388490844464,2.3534113240500187,1,1.3208767492642164,0.1865424634880346
ASD / CTRL,22,1.3020615812096594,0.33941670332942914,Inf,0.781166095014698,2.1702994690652817,1,1.012553715479783,0.3112733771669454
ASD / CTRL,23,1.2910358351417621,0.33744001207765123,Inf,0.7734966676711977,2.154855472924556,1,0.9773247633973695,0.3284083972178046
ASD / CTRL,24,1.3008180772908162,0.3402700537332982,Inf,0.7790366959320004,2.172076975375594,1,1.0053970631321616,0.3147056934695496
ASD / CTRL,25,1.2546048889792816,0.32830191369227796,Inf,0.7512191574132306,2.095305227399667,1,0.8667946762976273,0.38605451956149633
ASD / CTRL,26,1.2190665696517318,0.31875519689720505,Inf,0.7302299846898164,2.0351441770413046,1,0.7575699578333588,0.44870847067012803
ASD / CTRL,27,1.152911154770562,0.3011429476762223,Inf,0.6909714644628863,1.923674419503883,1,0.5447510559790645,0.5859247449316604
ASD / CTRL,28,1.1925481430976688,0.31169764268596784,Inf,0.7144904373426815,1.9904690101871871,1,0.6737252194269426,0.5004860251908054
ASD / CTRL,29,1.1810659335139702,0.3088784135176206,Inf,0.7073975554479097,1.9718992927873396,1,0.6363341399224347,0.5245586575291334
ASD / CTRL,30,1.1527815086288462,0.3019245767982045,Inf,0.689936500344668,1.926126833371947,1,0.5428503179839489,0.5872328651737279
ASD / CTRL,31,1.2492366209779615,0.3272909923479339,Inf,0.7475427547524497,2.0876292697254866,1,0.8493846658196323,0.3956672829103702
ASD / CTRL,32,1.308134419288121,0.3430418042717141,Inf,0.7824119416718588,2.187103196903848,1,1.0242703258543815,0.30570760982079964
ASD / CTRL,33,1.3708455605285177,0.3593352134680473,Inf,0.820098248339562,2.291454169821193,1,1.2033408091484374,0.22884446305373837
ASD / CTRL,34,1.4248057001097099,0.37373211336273826,Inf,0.8520834823867892,2.3824793286435324,1,1.3497147136363863,0.17710751085030085
ASD / CTRL,35,1.3042207638746075,0.34174923313534783,Inf,0.7803833328158659,2.1796875066308203,1,1.0136336710248097,0.31075758475080323
ASD / CTRL,36,1.4021859930155833,0.36777063441517827,Inf,0.838589211884932,2.3445633823380043,1,1.2888042481726467,0.19746614877764965
ASD / CTRL,37,1.5183490733833263,0.3992663939201063,Inf,0.9068572514090264,2.5421684670459688,1,1.5881587553504213,0.11225044495142414
