term,Chisq,Df,Pr(>Chisq)
(Intercept),2.52932188781597,1,0.11174823069350266
Group,5.6421138711136525,1,0.01753405427921392
progress_window,13.428275933157412,36,0.9997775793406136
medication,78.5848647480303,3,6.17372923138326e-17
Sex,10.169942108097867,1,0.0014274875751598983
session,49.95048858922232,3,8.18552298393534e-11
Group:progress_window,10.639075233477424,36,0.9999877319347915
Group:medication,72.1337164416655,3,1.4902938919069792e-15
progress_window:medication,53.28631854184696,108,0.999997867923148
Group:Sex,3.655030619475099,1,0.05590012761569709
Group:progress_window:medication,61.91302198016295,108,0.999890045559398
