contrast,progress_window,Sex,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
ASD / CTRL,01,f,2.3660166651085617,0.8420503160902956,Inf,1.1778244674567377,4.7528600519389865,1,2.419845927899349,0.015527084344730513
ASD / CTRL,02,f,2.141813879199047,0.760479655266679,Inf,1.0679507854153782,4.29548510640911,1,2.145118702930163,0.031943357424082386
ASD / CTRL,03,f,2.3371105098130673,0.8296511384810271,Inf,1.165496868853326,4.68648666594237,1,2.3913773807922447,0.01678528976769453
ASD / CTRL,04,f,2.1698504012073605,0.7687399535862115,Inf,1.0835875585587136,4.345057975639935,1,2.186555354463382,0.028774999555564208
ASD / CTRL,05,f,2.140623889910792,0.7584825132359647,Inf,1.068897383089661,4.286913515319591,1,2.1480035276063876,0.03171347522636756
ASD / CTRL,06,f,2.2584834026533813,0.8001069372316275,Inf,1.1278828306482953,4.522408836677599,1,2.299657363186944,0.02146763946571723
ASD / CTRL,07,f,2.202610928468419,0.7797807439429248,Inf,1.1005014483520976,4.408440270090684,1,2.2304696406547007,0.025716280769975734
ASD / CTRL,08,f,2.3147180451934584,0.820157641880136,Inf,1.15584044328198,4.635518388273859,1,2.3687090313099244,0.01785029034235176
ASD / CTRL,09,f,2.273309615287411,0.8039335181545362,Inf,1.1366835124205583,4.546504414366949,1,2.322238540856855,0.020220094794968568
ASD / CTRL,10,f,2.2662468794910944,0.8015456804927265,Inf,1.1330444271217643,4.532809831517037,1,2.313122650325145,0.020715896716043663
ASD / CTRL,11,f,2.295569403958786,0.8122579641992606,Inf,1.147370328869534,4.592796898960858,1,2.348483433955393,0.018850037697257342
ASD / CTRL,12,f,2.2642550011195963,0.8007922748291539,Inf,1.1320964771507502,4.528634099275984,1,2.310777611781085,0.020845141745544075
ASD / CTRL,13,f,2.2521106485607945,0.7966761972938825,Inf,1.1258490893297828,4.505046388037922,1,2.2950556569989606,0.02172993487336009
ASD / CTRL,14,f,2.114422995755821,0.7474420855024597,Inf,1.0575349322946945,4.227552649518706,1,2.118213338273943,0.03415700406843462
ASD / CTRL,15,f,2.185088577089285,0.7735930841434167,Inf,1.0917312926188776,4.373431559585137,1,2.2078640987429683,0.0272537481503815
ASD / CTRL,16,f,2.372924777455044,0.8403527645446155,Inf,1.1853254170273513,4.750401804072797,1,2.4400461600424244,0.014685385300854514
ASD / CTRL,17,f,2.0927590244602285,0.7411102792606105,Inf,1.045400251476212,4.189438761158922,1,2.0853409264356175,0.03703836493859506
ASD / CTRL,18,f,2.259906342605459,0.8010025848894983,Inf,1.1282102627704595,4.526795089425157,1,2.30031025165616,0.021430649292689917
ASD / CTRL,19,f,1.8621501283221669,0.6597400628076957,Inf,0.929914462600252,3.728948456951682,1,1.7548698678739143,0.0792815693003691
ASD / CTRL,20,f,2.0945966725907272,0.7417121682948434,Inf,1.0463660721061527,4.192925724356873,1,2.0879570131330842,0.036801712515481
ASD / CTRL,21,f,2.2236496608893304,0.7860950888253074,Inf,1.1121240859493566,4.4461026218601285,1,2.260578001565164,0.023785401248271824
ASD / CTRL,22,f,2.0514038956722165,0.7249108638473682,Inf,1.026264922945258,4.100557126226186,1,2.033330989950385,0.042019094272286006
ASD / CTRL,23,f,2.0340327829976808,0.7198234674488531,Inf,1.0165445096435404,4.069953969610307,1,2.0063319216607267,0.04482084640832002
ASD / CTRL,24,f,2.0494447496377957,0.7256147154941387,Inf,1.0239167621138976,4.102114485504151,1,2.0267199501211164,0.04269106102114671
ASD / CTRL,25,f,1.9766356629541677,0.7000110658798522,Inf,0.98736976592788706,3.957067229408783,1,1.9240725939859697,0.05434548475579797
ASD / CTRL,26,f,1.9206448805163288,0.679881328301206,Inf,0.9596959779596784,3.84379724597384,1,1.8437482625608432,0.06521983587220936
ASD / CTRL,27,f,1.8164167258994302,0.6426480543585691,Inf,0.9079469460805807,3.633879420344882,1,1.6870149764751454,0.09160047224033772
ASD / CTRL,28,f,1.8788649798379267,0.6649687109563759,Inf,0.9389402384844545,3.759699997690342,1,1.7819481387268892,0.07475768933149494
ASD / CTRL,29,f,1.860774706834832,0.6587324396684275,Inf,0.9297370230609594,3.724152554661935,1,1.754168810550087,0.07940158580742662
ASD / CTRL,30,f,1.816212467818236,0.643480185968166,Inf,0.9069592399332203,3.6370187137641223,1,1.6843265025016192,0.09211858624097334
ASD / CTRL,31,f,1.9681779324982167,0.6974119008395545,Inf,0.9827572564832676,3.941689922326113,1,1.9108785354961524,0.05602019205905845
ASD / CTRL,32,f,2.060971679463494,0.7306818194323903,Inf,1.0287106997337463,4.129056171623325,1,2.039805058901385,0.04136974576086656
ASD / CTRL,33,f,2.159773365419917,0.7655553392969398,Inf,1.0781779987939208,4.3263922981133405,1,2.172321865780885,0.029831393870356646
ASD / CTRL,34,f,2.2447878087806035,0.7960299152318472,Inf,1.1202850760491445,4.498026809587677,1,2.2802662047574613,0.022591904884543636
ASD / CTRL,35,f,2.0548056977023688,0.7282170089246911,Inf,1.0259057734097996,4.115608435730621,1,2.0321313633623133,0.042140359053296196
ASD / CTRL,36,f,2.2091503582010796,0.7832708594551616,Inf,1.1026187475461282,4.426140328196976,1,2.235484954076954,0.025385528318371545
ASD / CTRL,37,f,2.39216581541032,0.8492919212376258,Inf,1.192857969354089,4.797266259214689,1,2.456687682377808,0.014022453457522701
