fix,Group,n,mean_delta_t2t3,sd_delta_t2t3,mean_delta_gaze,sd_delta_gaze
Background,ASD,24,1.9170833333333335,3.4873678615037553,-0.050222915553810116,0.13672594678641853
Background,CTRL,25,2.1592000000000002,3.821038166083488,0.028472615730643955,0.22041897603152308
Eyes,ASD,24,1.9170833333333335,3.4873678615037553,0.028768639962412867,0.17041313195752622
Eyes,CTRL,24,2.32625,3.8088259203203743,-0.08963822526002023,0.1984977111561367
