term,estimate,std.error,statistic,p.value,dataset,fix,n,n_id
(Intercept),-0.017840448066556883,0.10858312998327524,-0.16430220854109473,0.8702814203393959,full,Eyes,49,49
delta_t2t3,0.014798579302874959,0.00929298610038932,1.5924460817018748,0.11878383887873631,full,Eyes,49,49
GroupCTRL,-0.024337408818303458,0.05277531135588575,-0.4611514019156845,0.6470693127460766,full,Eyes,49,49
SexMale,0.1339187079607445,0.05186967077934148,2.5818306912038724,0.013406776737325715,full,Eyes,49,49
active_session_num,-0.018629986708865204,0.02304447217058881,-0.8084362519113054,0.42339523616929464,full,Eyes,49,49
placebo_session_num,0.0024756287576476344,0.023463722824308877,0.10550877949695325,0.9164744090065938,full,Eyes,49,49
delta_t2t3:GroupCTRL,-0.03666726438586509,0.01253181786603119,-2.925933394328652,0.005519742846671339,full,Eyes,49,49
(Intercept),0.06259258358429622,0.10793366740607321,0.5799171388183022,0.5650687344732351,full,Background,49,49
delta_t2t3,-0.003707955774919085,0.009237402450299375,-0.40140675854161945,0.6901558220772673,full,Background,49,49
GroupCTRL,-0.04116535638237588,0.052459649155587124,-0.7847051409033611,0.43703035564763015,full,Background,49,49
SexMale,-0.09260792299628698,0.05155942543949762,-1.7961395459101401,0.07966792009515425,full,Background,49,49
active_session_num,-0.016732598124385774,0.022906637478510253,-0.730469417001224,0.46915859649427094,full,Background,49,49
placebo_session_num,0.005143631873833956,0.02332338049029643,0.2205354355031826,0.8265227275657292,full,Background,49,49
delta_t2t3:GroupCTRL,0.03485089970017319,0.012456861961467077,2.7977270526058478,0.007735160325107616,full,Background,49,49
(Intercept),0.11970854793772162,0.0962411845091167,1.2438390959993006,0.22159742705607705,extreme_cases_removed,Eyes,43,43
delta_t2t3,0.011528816321738961,0.00846921021141255,1.3612622705011486,0.18189099933975353,extreme_cases_removed,Eyes,43,43
GroupCTRL,-0.06207248101063757,0.042911469704982955,-1.4465242378643024,0.15668160424379488,extreme_cases_removed,Eyes,43,43
SexMale,0.16216899519162126,0.04650130097895015,3.4874077020991447,0.0013039808826928211,extreme_cases_removed,Eyes,43,43
active_session_num,-0.037725981717561925,0.020729876365080724,-1.8198845498717482,0.07709986218593902,extreme_cases_removed,Eyes,43,43
placebo_session_num,-0.02695539197264004,0.022071277900880273,-1.2212882323213814,0.22991497577425785,extreme_cases_removed,Eyes,43,43
delta_t2t3:GroupCTRL,-0.045626817835978085,0.02228958340698727,-2.0470018215627634,0.04801080576116731,extreme_cases_removed,Eyes,43,43
(Intercept),-0.023667024688291655,0.09458973517728524,-0.250207114375927,0.8038495847133894,extreme_cases_removed,Background,43,43
delta_t2t3,0.004130384690526622,0.008323882910879871,0.4962088888982248,0.6227632754260948,extreme_cases_removed,Background,43,43
GroupCTRL,0.017329035761482495,0.042175130908513894,0.4108827972359484,0.6835940631263977,extreme_cases_removed,Background,43,43
SexMale,-0.10641176927223545,0.0457033625202469,-2.3283137914654377,0.025628599687646646,extreme_cases_removed,Background,43,43
active_session_num,-0.010641441718745308,0.020374162325954175,-0.5223008214276089,0.6046603068673472,extreme_cases_removed,Background,43,43
placebo_session_num,0.023385920048115436,0.021692546099853632,1.07806248010109,0.2881767997541412,extreme_cases_removed,Background,43,43
delta_t2t3:GroupCTRL,0.00991486003572095,0.02190710559551786,0.4525864903736761,0.6535622734302975,extreme_cases_removed,Background,43,43
