fix,Group,n,mean_delta_t2t3,sd_delta_t2t3,mean_delta_gaze,sd_delta_gaze
Background,ASD,25,1.8292,3.885136119451501,-0.014587207946627096,0.16457270831026635
Background,CTRL,26,2.1623076923076923,3.865352048848651,0.029072345430801557,0.21380961272528345
Eyes,ASD,25,1.8292,3.885136119451501,0.016094074915918865,0.1519383262909183
Eyes,CTRL,26,2.1623076923076923,3.865352048848651,-0.06852864626282902,0.21238594459257118
