fix,term,estimate,std.error,statistic,p.value
Background,(Intercept),-0.013473197815228865,0.036845391044764794,-0.3656684712304937,0.7162531491282159
Background,GroupCTRL,-0.036315325335276254,0.05256630956725859,-0.6908479144576584,0.4930591684948711
Background,delta_t2t3,-6.090149417221653e-4,0.008724258912955512,-0.06980706874916091,0.9446433926954927
Background,GroupCTRL:delta_t2t3,0.03707971190212725,0.012244621875150873,3.0282447494255815,0.003986488267173857
Eyes,(Intercept),0.004370418927362147,0.03849600333894382,0.1135291601281863,0.9100946118122473
Eyes,GroupCTRL,-0.016709624701063176,0.05492119288837524,-0.30424730094673486,0.7622825201287147
Eyes,delta_t2t3,0.006409171216136387,0.009115091215476871,0.7031384617692036,0.4854380535022993
Eyes,GroupCTRL:delta_t2t3,-0.03239503839360573,0.012793160588721375,-2.5322154106441563,0.014734751290073202
