fix,set,n,pearson_r,pearson_p,spearman_rho,spearman_p,Group
Background,Full sample,51,0.3712314706561604,0.007318783021092451,0.1983710407239819,0.16288199703919937,NA
Eyes,Full sample,51,-0.21419320367476727,0.13122175483261592,-0.049773755656108594,0.7286975058918406,NA
Background,NA,25,-0.014377268088155206,0.9456190093998591,0.2684615384615385,0.19443833485050016,ASD
Background,NA,26,0.6593346361838753,2.48715001028022e-4,0.19999999999999996,0.32728688127978545,CTRL
Eyes,NA,25,0.16388559223617533,0.433749864780984,-0.02384615384615385,0.9099177127623183,ASD
Eyes,NA,26,-0.4729339558143874,0.014687436407491075,-0.11384615384615383,0.5797433676495641,CTRL
