fix,term,estimate,std.error,statistic,p.value
Background,(Intercept),-0.041985716366901384,0.04374707000061928,-0.9597377919551421,0.3423157480375154
Background,GroupCTRL,0.05438026868503341,0.061442734648764284,0.8850561257713663,0.3808312556049178
Background,delta_t2t3,-0.004296735068154942,0.011173133854766197,-0.38455952680832295,0.7023752290777254
Background,GroupCTRL:delta_t2t3,0.01174304083534275,0.014983123278549667,0.7837511990677186,0.43729207930674285
Eyes,(Intercept),0.009433072629867917,0.043829239559711235,0.21522327844672434,0.8305877581879262
Eyes,GroupCTRL,-0.0915841263099649,0.06284853373829041,-1.4572197768580137,0.15215608996892002
Eyes,delta_t2t3,0.010085929493177104,0.011194120208423893,0.9010024285416514,0.3724924802160732
Eyes,GroupCTRL:delta_t2t3,-0.01330448793699147,0.015177537276590103,-0.8765906941643535,0.38546993914451433
