fix,set,n,pearson_r,pearson_p,spearman_rho,spearman_p,Group
Background,Full sample,49,0.05052016796695868,0.7302957892238429,-0.059489795918367346,0.6847144539135446,NA
Eyes,Full sample,48,0.03560609354629656,0.8101288586753912,0.21178897090751195,0.14843266189831902,NA
Background,NA,24,-0.10959365166793743,0.6102087398896882,-0.1060869565217391,0.6217515088671195,ASD
Background,NA,25,0.12908425147879776,0.5385813487568911,-0.03076923076923077,0.8839182553315149,CTRL
Eyes,NA,24,0.20640044557519965,0.33322128771403514,0.35304347826086946,0.09060541970723551,ASD
Eyes,NA,24,-0.0617585399623242,0.7743604494071497,0.10869565217391303,0.613156197740633,CTRL
