term,estimate,std.error,statistic,p.value,model,fix,cutoff
delta_t2t3:GroupCTRL,-0.03666726438586509,0.01253181786603119,-2.925933394328652,0.005519742846671339,full,Eyes,0.08163265306122448
delta_t2t3:GroupCTRL,-0.046936389350217385,0.021550628027454336,-2.177959235824727,0.03568414464592544,refit_without_flagged,Eyes,0.08163265306122448
delta_t2t3:GroupCTRL,0.03485089970017319,0.012456861961467077,2.7977270526058478,0.007735160325107616,full,Background,0.08163265306122448
delta_t2t3:GroupCTRL,0.0070566204172891386,0.014497948467631881,0.48673234237545737,0.6292437276703327,refit_without_flagged,Background,0.08163265306122448
