term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value
fix,Eyes - Mouth,0,0.14666670465842924,0.013436453589038638,Inf,10.915581532472146,3.952393967665557e-14
fix,Eyes - Face,0,0.08398621295254499,0.01462899993022702,Inf,5.741076857824665,5.6369470091688356e-8
fix,Eyes - Background,0,-0.10744262566804813,0.016966457837364213,Inf,-6.332649201027316,1.4454010210940282e-9
fix,Mouth - Face,0,-0.06268049170588424,0.01187281158250161,Inf,-5.279330112360582,7.753137133414967e-7
fix,Mouth - Background,0,-0.25410933032647737,0.014715942305870236,Inf,-17.267622082556844,0
fix,Face - Background,0,-0.19142883862059312,0.01580525113379779,Inf,-12.111723945419861,0
