fix,mean,sd,n
Eyes,0.3016205542843134,0.18731129736099014,229
Mouth,0.1505769408419645,0.15580094079587578,230
Face,0.16206708537247966,0.08113631725014156,230
Background,0.38704681321552187,0.21630675474592914,230
