fix,Sex,term,contrast,null.value,estimate,std.error,df,statistic,p.value
Eyes,f,Group,ASD - CTRL,0,-0.4773701594122673,0.1588622682966993,Inf,-3.0049310294418454,0.0026564107820583383
Mouth,f,Group,ASD - CTRL,0,0.04368463061799263,0.1753269752584754,Inf,0.24916092092269693,0.8032363068748758
Face,f,Group,ASD - CTRL,0,-0.4314273779464114,0.16885259234953345,Inf,-2.5550533275398863,0.010617153053043548
Background,f,Group,ASD - CTRL,0,0.6077164985298862,0.14814269055212734,Inf,4.102237486472864,4.091739725166002e-5
Eyes,m,Group,ASD - CTRL,0,0.08047645656129634,0.15398080242445716,Inf,0.5226395452821336,0.6012251156834723
Mouth,m,Group,ASD - CTRL,0,-0.04937580139728748,0.17343456243162983,Inf,-0.2846941273124384,0.7758784902743
Face,m,Group,ASD - CTRL,0,0.09435121379238409,0.1609951347080868,Inf,0.5860500937712178,0.5578418520668502
Background,m,Group,ASD - CTRL,0,-0.06938824518933537,0.1529301218235676,Inf,-0.45372516782133465,0.6500266499887699
