fix,term,contrast,null.value,estimate,std.error,df,statistic,p.value
Eyes,Group,ASD - CTRL,0,-0.19844685142548546,0.11055433830977124,Inf,-1.7950164096631016,0.0726510854915309
Mouth,Group,ASD - CTRL,0,-0.002845585389647437,0.12327940034379861,Inf,-0.023082407780308286,0.9815845385059131
Face,Group,ASD - CTRL,0,-0.1685380820770136,0.11659586500585137,Inf,-1.4454893582079906,0.14832048001209222
Background,Group,ASD - CTRL,0,0.26916412667027545,0.10643009293685117,Inf,2.529022753273177,0.011438061183890022
