contrast,progress_bin,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication_sex
ASD / CTRL,01,BOTH,f,2.172950013623352,1.0245907899895477,Inf,1,1.6459209312457945,0.09978003895186814,,01_BOTH_f
ASD / CTRL,02,BOTH,f,1.6737143599367446,0.7759085884397849,Inf,1,1.1110055592491455,0.26656595639880065,,02_BOTH_f
ASD / CTRL,03,BOTH,f,2.1549381562234724,1.0029229381013978,Inf,1,1.649657835553692,0.09901293866738213,,03_BOTH_f
ASD / CTRL,04,BOTH,f,1.5454123865219376,0.7059499936892153,Inf,1,0.9529057115301753,0.3406378459651504,,04_BOTH_f
ASD / CTRL,05,BOTH,f,2.3661136337917714,1.0788218926219304,Inf,1,1.888923948681015,0.05890201994388365,,05_BOTH_f
ASD / CTRL,06,BOTH,f,2.8350149017441306,1.3051207072954985,Inf,1,2.2635602250552833,0.023601176535934774,*,06_BOTH_f
ASD / CTRL,07,BOTH,f,1.6201959653223423,0.7408906915731021,Inf,1,1.0552445679754043,0.2913134857363864,,07_BOTH_f
ASD / CTRL,08,BOTH,f,1.6745767094993063,0.7731604046782592,Inf,1,1.1166447101932775,0.26414626680928577,,08_BOTH_f
ASD / CTRL,09,BOTH,f,1.6360348628538106,0.7526371788442202,Inf,1,1.070077297421015,0.284584517045569,,09_BOTH_f
ASD / CTRL,10,BOTH,f,1.0315996288009408,0.4731851476208318,Inf,1,0.06782486703533845,0.9459250483077811,,10_BOTH_f
ASD / CTRL,11,BOTH,f,1.8438096215908504,0.8444250962283694,Inf,1,1.335944651087308,0.18156736502919923,,11_BOTH_f
ASD / CTRL,12,BOTH,f,2.6623847470963207,1.2195601738051676,Inf,1,2.137710314565885,0.032540261842811655,*,12_BOTH_f
ASD / CTRL,13,BOTH,f,2.3942708906688956,1.1041569024720665,Inf,1,1.8931974640874762,0.05833161453152752,,13_BOTH_f
ASD / CTRL,14,BOTH,f,1.3847740167908458,0.6369810819472344,Inf,1,0.707705673907433,0.4791280531800274,,14_BOTH_f
ASD / CTRL,15,BOTH,f,2.8916949761279356,1.3316781883923152,Inf,1,2.305756447331266,0.02112424505611359,*,15_BOTH_f
ASD / CTRL,16,BOTH,f,2.190853372563297,1.011212213814988,Inf,1,1.6992149188736427,0.08927869640148879,,16_BOTH_f
ASD / CTRL,17,BOTH,f,2.4116570828341994,1.128505527007498,Inf,1,1.8812630310212133,0.05993614729764724,,17_BOTH_f
ASD / CTRL,18,BOTH,f,1.8481963779779114,0.8530619403274234,Inf,1,1.3307136020885093,0.18328326564909914,,18_BOTH_f
ASD / CTRL,19,BOTH,f,1.776414800015286,0.8233707885350559,Inf,1,1.239688049988349,0.21509079884007248,,19_BOTH_f
ASD / CTRL,20,BOTH,f,1.6985123655045198,0.7986928846555743,Inf,1,1.1265802911172307,0.259919975901093,,20_BOTH_f
ASD / CTRL,01,NAL,f,1.9948044259596132,0.970011424822152,Inf,1,1.4200907419036881,0.1555812652225152,,01_NAL_f
ASD / CTRL,02,NAL,f,2.257382778361002,1.0987535635360928,Inf,1,1.672781634558566,0.0943702915961777,,02_NAL_f
ASD / CTRL,03,NAL,f,2.592261640219851,1.26395403414473,Inf,1,1.953559042895249,0.05075338830745859,,03_NAL_f
ASD / CTRL,04,NAL,f,0.893407865316464,0.4578712195691595,Inf,1,-0.2199261326017951,0.8259286836559963,,04_NAL_f
ASD / CTRL,05,NAL,f,1.805297633255241,0.8765671447155415,Inf,1,1.2166042303375337,0.22375483242925964,,05_NAL_f
ASD / CTRL,06,NAL,f,1.7169988544482528,0.8273610930523637,Inf,1,1.121845912420477,0.2619279611339837,,06_NAL_f
ASD / CTRL,07,NAL,f,1.8764571773482381,0.9063547267157637,Inf,1,1.303038357209601,0.1925616666807335,,07_NAL_f
ASD / CTRL,08,NAL,f,1.8421974052085024,0.8889580012681032,Inf,1,1.2660972385907852,0.20547827113859699,,08_NAL_f
ASD / CTRL,09,NAL,f,2.452853484603257,1.1834640225641369,Inf,1,1.8596490786801982,0.06293519079164984,,09_NAL_f
ASD / CTRL,10,NAL,f,1.4308313098164045,0.6963117927392658,Inf,1,0.7361692712014786,0.4616276904206311,,10_NAL_f
ASD / CTRL,11,NAL,f,2.6298563976505926,1.257343871297276,Inf,1,2.022426095157382,0.043132351467578774,*,11_NAL_f
ASD / CTRL,12,NAL,f,1.5536160858164534,0.7458993181436081,Inf,1,0.9176844573553236,0.35878408708017084,,12_NAL_f
ASD / CTRL,13,NAL,f,1.5009183734602918,0.717074144961097,Inf,1,0.8499660591293695,0.39534395661569727,,13_NAL_f
ASD / CTRL,14,NAL,f,2.0951393706197488,1.0306033651234483,Inf,1,1.5035921616903347,0.1326864106133857,,14_NAL_f
ASD / CTRL,15,NAL,f,1.3516934979344661,0.6655913425773861,Inf,1,0.6120031315714797,0.5405356856534609,,15_NAL_f
